DateTime,AddedIPs,RemovedIPs
1575022481,3,1
1575025979,0,14
1575029584,1,3
1575033186,3,5
1575036869,3,2
1575040378,1,2
1575043980,1,8
1575047590,2,1
1575051281,1,1
1575054795,3,3
1575058404,6,0
1575062003,2,1
1575065675,1,1
1575069190,1,2
1575072804,1,0
1575076399,3,2
1575083608,3,0
1575087189,0,2
1575090799,2,0
1575094475,1,2
1575097994,3,14
1575101598,6,2
1575105201,4,2
1575108877,0,4
1575112396,2,4
1575116021,19,1
1575119620,3,2
1575123309,2,4
1575126821,5,5
1575130424,0,1
1575134023,3,1
1575137698,1,0
1575141221,1,1
1575144828,1,1
1575148426,1,1
1575152111,1,4
1575155615,0,4
1575162816,0,1
1575166502,1,3
1575170017,2,1
1575173605,0,1
1575180886,2,2
1575184414,1,2
1575188010,1,0
1575191609,5,3
1575195290,1,1
1575198822,19,1
1575202414,0,1
1575206022,0,1
1575209689,1,1
1575213219,2,4
1575216817,3,7
1575220418,0,2
1575224087,2,1
1575227611,2,0
1575231218,7,3
1575234807,3,2
1575238504,1,2
1575245624,1,1
1575249221,1,1
1575252897,1,1
1575256430,2,0
1575260015,0,3
1575263618,3,4
1575267311,4,0
1575270835,27,1
1575274442,4,2
1575278037,2,1
1575281732,2,0
1575285236,2,1
1575288839,1,0
1575292447,5,2
1575296134,1,1
1575303234,2,2
1575306836,5,0
1575310519,7,0
1575314046,0,1
1575317655,5,2
1575321264,5,2
1575324944,3,1
1575328466,3,3
1575332064,1,2
1575335660,6,2
1575339345,3,0
1575342871,1,2
1575346456,3,0
1575350078,3,0
1575353758,0,1
1575357278,3,2
1575360875,16,24
1575364467,6,1
1575368164,1,1
1575371672,0,2
1575375275,2,1
1575378877,4,0
1575382566,6,2
1575386078,4,3
1575389672,2,1
1575393289,2,2
1575396971,2,6
1575400502,0,3
1575404081,3,1
1575407669,1,2
1575411391,1,0
1575414891,0,1
1575418464,1,0
1575422081,1,0
1575429283,1,1
1575432872,2,3
1575436487,5,2
1575440169,1,3
1575443674,1,2
1575447278,5,1
1575450874,1,3
1575454566,1,2
1575458087,1,3
1575461685,0,5
1575465307,2,2
1575468950,3,1
1575472482,0,1
1575476088,6,2
1575479694,3,3
1575483389,3,0
1575486896,4,1
1575490512,1,1
1575494102,2,0
1575497786,1,1
1575501300,2,4
1575504898,1,3
1575508506,10,3
1575515711,3,1
1575519304,3,2
1575522905,5,1
1575526579,1,0
1575530126,20,2
1575533732,3,1
1575537325,1,1
1575541016,2,2
1575544518,0,5
1575548110,2,1
1575551718,1,2
1575558906,0,4
1575562521,6,0
1575566101,1,4
1575569786,2,4
1575573320,1,1
1575580517,0,2
1575587722,0,4
1575591316,0,3
1575594923,0,1
1575598605,3,1
1575602110,1,2
1575605695,0,1
1575609318,2,2
1575616513,11,23
1575620096,0,5
1575623697,1,0
1575627375,3,1
1575634502,6,2
1575638093,0,1
1575645295,4,4
1575648885,3,2
1575652489,1,3
1575656183,3,0
1575659699,8,3
1575663303,5,7
1575666908,1,2
1575674100,3,5
1575677693,1,3
1575681301,2,2
1575688498,2,1
1575692095,1,0
1575695692,2,2
1575699378,2,1
1575702907,16,1
1575710106,0,4
1575713799,2,1
1575717304,4,1
1575720904,8,7
1575724497,0,4
1575728178,1,1
1575731700,1,5
1575735306,0,1
1575738912,1,2
