DateTime,Entries,UniqueIPs
1575176505,5908,5908
1575178267,5909,5909
1575180085,5918,5918
1575185486,5920,5920
1575192673,5953,5953
1575194487,6003,6003
1575199909,6027,6027
1575203478,6042,6042
1575207090,6058,6058
1575208877,6060,6060
1575216065,6088,6088
1575219686,6113,6113
1575221506,6112,6112
1575225099,6126,6126
1575228673,6116,6116
1575230475,6146,6146
1575235901,6121,6121
1575239475,6093,6093
1575243066,6036,6036
1575246683,6025,6025
1575248524,6010,6010
1575253865,5973,5973
1575257483,5949,5949
1575261078,5943,5943
1575262888,5921,5921
1575266465,5931,5931
1575273702,5976,5976
1575279075,5982,5982
1575282666,6009,6009
1575286269,6005,6005
1575289887,6012,6012
1575293465,6044,6044
1575297095,6054,6054
1575300679,6050,6050
1575304272,6059,6059
1575307891,6073,6073
1575313272,6102,6102
1575315072,6111,6111
1575318685,6140,6140
1575322267,6132,6132
1575325872,6102,6102
1575329486,6059,6059
1575333078,6041,6041
1575336692,6006,6006
1575340275,5975,5975
1575343876,5972,5972
1575349301,5942,5942
1575354686,5963,5963
1575358293,5957,5957
1575361894,5972,5972
1575365465,5976,5976
1575369073,6000,6000
1575372668,5983,5983
1575376282,6007,6007
1575378079,6022,6022
1575381828,6028,6028
1575383486,6022,6022
1575385300,6028,6028
1575387068,6041,6041
1575392505,6043,6043
1575394307,6041,6041
1575396110,6075,6075
1575397865,6072,6072
1575403320,6081,6081
1575405077,6099,6099
1575408669,6103,6103
1575414077,6091,6091
1575417719,6048,6048
1575419506,6026,6026
1575423086,6005,6005
1575426668,5990,5990
1575430295,5983,5983
1575433888,5980,5980
1575437491,5964,5964
1575441091,5959,5959
1575444680,5978,5978
1575448265,5969,5969
1575453668,5998,5998
1575457272,6000,6000
1575459085,6030,6030
1575462673,6024,6024
1575466282,6032,6032
1575471714,6032,6032
1575475265,6037,6037
1575482500,6052,6052
1575484281,6069,6069
1575487864,6092,6092
1575491465,6118,6118
1575495077,6111,6111
1575496893,6092,6092
1575498674,6090,6090
1575502425,6027,6027
1575505876,6008,6008
1575509502,5992,5992
1575513086,5985,5985
1575516674,5963,5963
1575520268,5944,5944
1575523872,5932,5932
1575527466,5939,5939
1575531100,5968,5968
1575534680,5964,5964
1575536480,5968,5968
1575538293,5986,5986
1575541897,5996,5996
1575545471,6024,6024
1575549086,6037,6037
1575552688,6031,6031
1575556268,6041,6041
1575558068,6059,6059
1575561696,6082,6082
1575567078,6063,6063
1575568932,6130,6130
1575574276,6134,6134
1575577865,6132,6132
1575581475,6126,6126
1575585078,6092,6092
1575588709,6059,6059
1575592265,6044,6044
1575597671,5995,5995
1575603082,5983,5983
1575606675,5971,5971
1575610304,5949,5949
1575613867,5968,5968
1575617470,5992,5992
1575621102,6005,6005
1575624676,6012,6012
1575628299,6013,6013
1575633666,6019,6019
1575635483,6065,6065
1575639069,6065,6065
1575642676,6080,6080
1575644504,6091,6091
1575649870,6103,6103
1575655302,6106,6106
1575657079,6116,6116
1575660688,6111,6111
1575664283,6113,6113
1575667910,6097,6097
1575671549,6104,6104
1575675086,6061,6061
1575678670,6039,6039
1575682270,6025,6025
