DateTime,AddedIPs,RemovedIPs
1576374023,1,0
1576374625,57,0
1576375227,9,0
1576377022,11,0
1576377621,4,0
1576378225,24,0
1576379123,1,0
1576380327,10,0
1576382723,34,0
1576384226,3,0
1576385426,4,0
1576386026,2,0
1576387225,18,0
1576388425,7,0
1576389322,61,0
1576391141,4,0
1576391724,0,1
1576392921,16,0
1576394132,8,0
1576395027,153,0
1576395324,375,0
1576395925,0,3
1576396227,1,0
1576397724,33,0
1576398024,1,0
1576400426,30,0
1576401328,6,0
1576403426,6,0
1576404624,7,0
1576407023,19,0
1576408224,2,0
1576409724,32,1
1576410024,1,0
1576411225,13,0
1576413031,1,0
1576414228,0,1
1576416024,26,0
1576416627,8,0
1576417226,12,0
1576419624,20,0
1576420829,3,0
1576421428,48,0
1576422322,1,0
1576424425,4,0
1576425025,6,0
1576426523,3,0
1576427725,2,1
1576428923,8,0
1576430426,12,0
1576432227,4,0
1576433126,269,0
1576434024,93,0
1576434924,2,0
1576436123,9,0
1576437024,28,0
1576437622,2,0
1576438823,80,0
1576440322,6,0
1576441828,3,0
1576442728,1,0
1576443629,19,0
1576444825,11,0
1576446023,3,0
1576446628,2,0
1576447521,72,0
1576449022,1,0
1576449322,11,0
1576450522,4,0
1576452621,2,0
1576453222,1,0
1576454121,78,0
1576455623,3,0
1576456225,0,1
1576456823,15,0
1576457721,1,0
1576458922,9,0
1576459824,0,1
1576460420,24,0
1576461321,14,0
1576462524,3,0
1576463422,3,0
1576464921,54,0
1576465823,4,0
1576466723,2,0
1576468225,17,0
1576470322,2,0
1576471826,25,0
1576472722,20,0
1576473621,49,0
1576474225,1,0
1576476025,26,0
1576476320,4,0
1576477822,2,0
1576478722,0,1
1576479023,10,0
1576479922,17,0
1576480823,1,0
1576481721,16,0
1576482327,2,0
1576485026,5,0
1576485323,9,0
1576488626,11,0
1576489225,2,0
1576489825,44,0
1576491326,5,2
1576492824,1,0
1576493429,6,0
1576495223,1,0
1576496422,1,0
1576497027,45,0
1576497627,1,0
1576498827,10,0
1576500024,8,0
1576500629,3,0
1576502423,2,0
1576503028,1,0
1576504226,10,0
1576504827,0,1
1576505125,4,0
1576506928,2,2
1576507823,48,0
1576508724,12,0
1576510226,1,0
1576510825,2,0
1576512030,16,0
1576513224,1,0
1576513526,0,2
1576514729,0,1
1576515322,41,2
1576515924,2,0
1576517424,1,0
1576518326,17,0
1576519232,2,0
1576520425,0,1
1576521025,11,0
1576523125,93,0
1576523427,129,0
1576524624,4,0
1576525223,15,0
1576526723,2,0
1576528224,6,0
1576530026,13,0
1576530625,2,0
1576531223,1,0
1576532424,25,0
1576533922,111,1
1576534824,2,0
1576536022,7,0
1576537822,31,0
1576539024,3,0
1576539323,34,0
1576540222,0,1
1576540823,4,0
1576541421,9,0
1576542022,3,0
1576542624,1,0
1576544721,23,0
1576545621,2,0
1576546520,4,0
1576547426,2,0
1576548322,26,0
1576548924,2,0
1576549826,0,1
1576550421,3,0
1576551322,22,0
1576552822,4,0
1576553722,0,1
1576554022,2,0
1576554622,1,0
1576555225,61,1
1576555525,5,0
1576558824,17,0
1576559724,45,1
1576560326,3,0
1576561521,6,0
1576563022,5,0
1576563623,1,0
1576564224,8,0
1576565123,24,0
1576566024,0,1
1576566324,2,0
1576566925,10,0
1576568121,6,0
1576569024,3,0
1576570522,9,0
1576571126,0,1
1576571424,41,0
1576573224,16,0
1576574423,2,0
1576575622,1,0
1576576223,11,0
1576577423,5,0
1576578626,14,0
1576579224,0,2
1576579824,34,0
1576581928,1,0
1576582821,0,1
1576583424,0,1
1576584025,2,0
1576584324,20,0
1576586422,7,0
1576587627,12,0
1576588824,2,0
1576590026,4,0
1576591224,2,0
1576592428,4,0
1576593329,11,0
1576594225,24,0
1576595427,13,0
1576596626,3,0
1576597225,2,0
1576597526,10,0
1576598425,16,0
1576600227,0,1
1576600823,3,1
1576601431,2,0
1576601728,73,0
1576602324,1,0
1576603829,7,0
1576604728,0,1
1576605626,11,0
1576605926,0,1
1576606827,4,0
1576607723,0,2
1576608025,34,0
1576608633,0,1
1576609229,1,0
1576609524,1,0
1576611027,162,0
1576612224,19,0
1576612827,4,0
1576613423,0,1
1576614627,7,0
1576615222,2,0
1576616122,98,1
1576616723,23,0
1576619424,4,0
1576620324,16,0
1576621824,16,0
1576622422,10,0
1576622723,0,1
1576623624,28,0
1576626022,3,0
1576627521,14,1
1576629622,6,0
1576630521,8,0
1576631421,7,0
1576632623,5,0
1576633825,12,0
1576635021,1,0
1576636226,10,0
1576637422,0,1
1576637720,9,0
1576638321,0,2
1576638621,0,1
1576639824,10,0
1576640121,15,0
1576640423,17,0
1576641022,1,0
1576641320,1,1
1576642221,1,0
1576643421,5,1
1576644921,6,0
1576645821,4,0
1576646424,45,0
1576647023,37,0
1576648227,36,0
1576648520,1,0
1576651223,8,0
1576653623,3,0
1576654226,16,0
1576654822,5,0
1576655427,1,0
1576656323,13,0
1576657530,2,0
1576658422,7,0
1576659024,3,0
1576660224,6,1
1576660529,1,0
1576661721,21,0
1576662023,9,0
1576663228,5,0
1576665925,13,0
1576666523,7,0
1576666825,12,0
1576668627,11,0
1576669526,5,0
1576671331,9,0
1576672226,0,1
1576672824,3,0
1576673429,0,1
1576674325,12,1
1576674623,2,0
1576675225,0,1
1576675828,3,0
1576677025,50,0
1576677921,20,0
1576679125,0,1
1576681523,1,0
1576683025,6,0
1576684228,6,0
1576684825,1,0
1576685421,0,1
1576686023,0,1
1576686626,14,0
1576687222,16,0
1576687827,1,0
1576689323,26,0
1576691430,155,0
1576692625,4,0
1576694123,10,0
1576695628,2,0
1576696824,9,0
1576697721,1,0
1576699226,48,0
1576699525,1,0
1576700126,33,0
1576701023,4,0
1576701322,7,0
1576703123,3,0
1576704324,7,0
1576705222,12,0
1576705823,3,0
1576706722,2,0
1576709426,23,0
1576710323,23,0
1576712124,3,0
1576713322,25,0
1576715423,5,0
1576716624,12,0
1576716921,3,0
1576717822,0,1
1576718123,2,0
1576719022,1,0
1576720823,26,0
1576721120,3,0
1576722920,1,0
1576723827,1,0
1576725023,3,0
1576726823,11,1
1576727425,2,0
1576728621,20,0
1576729826,4,0
1576730726,8,0
1576732822,9,0
1576733424,11,0
1576734022,63,0
1576735225,22,0
1576737027,4,0
1576737321,7,0
1576738225,4,0
1576739421,2,0
1576740324,1,0
1576741526,1,0
