DateTime,AddedIPs,RemovedIPs
1568063123,1,0
1568074522,1,0
1568084120,0,1
1568100925,0,1
1568103024,1,0
1568124925,0,1
1568152227,0,1
1568174425,0,1
1568189428,1,0
1568227224,0,1
1568302826,0,1
1568309725,0,1
1568337323,1,0
1568356524,1,0
1568358925,1,0
1568399723,1,0
1568400326,1,0
1568401232,0,6
1568401526,1,0
1568405727,1,0
1568415628,1,0
1568420122,1,0
1568448624,1,0
1568477122,1,0
1568505324,1,0
1568538624,1,0
1568556029,1,0
1568587534,1,0
1568614529,2,0
1568622637,1,0
1568650227,1,0
1568664031,0,1
1568707829,1,2
1568722535,1,0
1568748025,1,0
1568764828,1,0
1568794533,2,0
1568800523,0,2
1568800828,0,1
1568803536,0,1
1568805029,0,1
1568805625,0,1
1568811635,1,0
1568822729,1,0
1568823032,1,0
1568830826,2,0
1568844324,1,0
1568870126,0,1
1568882726,1,0
1568915128,1,0
1568917526,1,0
1568926227,1,0
1568934923,3,0
1568967024,1,0
1568977832,1,0
1568979624,1,0
1569009028,1,0
1569012329,1,0
1569061830,1,0
1569089129,1,0
1569092123,1,0
1569140129,1,0
1569245130,1,0
1569255024,1,0
1569264634,0,1
1569265232,1,0
1569276028,0,1
1569276625,1,0
1569278424,1,0
1569283825,1,0
1569312627,1,0
1569324632,0,1
1569325230,1,0
1569335129,1,0
1569335728,1,0
1569341430,2,0
1569358227,0,1
1569427829,1,0
1569440426,0,1
1569514230,1,0
1569528026,0,1
1569528622,1,0
1569558324,0,1
1569561623,0,1
1569571822,1,0
1569623722,0,1
1569658222,1,0
1569689425,1,0
1569697524,1,0
1569699624,1,0
1569706521,0,1
1569721523,1,0
1569731722,1,0
1569773421,1,0
1569802821,1,0
1569807622,1,0
1569831023,1,0
1569840330,4,0
1569854426,0,1
1569886823,0,1
1569899422,1,0
1569945024,0,1
1569945322,0,1
1569945923,0,1
1569946223,1,0
1569951627,1,0
1569961523,0,1
1569971421,1,0
1569975022,1,0
1570003824,1,0
1570038923,1,0
1570061423,2,0
1570078222,1,0
1570084224,1,0
1570103427,5,0
1570119025,1,0
1570122025,1,0
1570126824,1,0
1570131026,1,0
1570197323,1,0
1570205424,2,0
1570247423,0,2
1570254325,1,0
1570272026,0,1
1570291828,1,0
1570293325,0,1
1570299024,1,0
1570300524,1,0
1570303826,2,0
1570318523,0,1
1570322724,1,0
1570324822,1,0
1570348524,1,0
1570349425,3,0
1570365626,1,0
1570378524,1,0
1570381526,0,3
1570387225,1,0
1570393229,1,0
1570435828,1,0
1570446930,0,1
1570470626,0,1
1570475425,0,1
1570493122,0,1
1570497322,1,0
1570551333,1,0
1570554030,0,1
1570578622,1,0
1570583422,0,1
1570587323,0,1
1570631128,0,1
1570637424,3,0
1570723826,1,0
1570765225,0,1
1570778427,1,0
1570806027,0,1
1570810232,1,0
1570815329,1,0
1570817130,1,0
1570867824,1,0
1570875623,1,0
1570890025,0,1
1570954224,1,0
1571069428,1,0
