DateTime,AddedIPs,RemovedIPs
1567031453,256,0
1567035003,256,0
1567038652,256,0
1567059476,1280,0
1567060245,512,0
1567062946,256,0
1567084827,0,1792
1567088409,0,256
1567103410,256,512
1567114211,256,256
1567125011,0,512
1567160377,0,1280
1567181973,1792,1536
1567194370,0,256
1567204211,0,512
1567230310,256,0
1567257454,0,1536
1567260995,1024,0
1567277649,256,0
1567299614,512,0
1567344205,768,768
1567351802,256,0
1567367110,0,256
1567373411,256,256
1567377011,256,0
1567412303,0,1280
1567426504,512,0
1567427463,256,0
1567431066,256,0
1567440981,256,0
1567459973,0,256
1567484111,256,0
1567520169,1280,1280
1567541712,256,256
1567563311,0,256
1567588700,0,1280
1567616415,1280,512
1567628110,256,0
1567636211,256,512
1567693811,0,768
1567711868,1280,256
1567718110,0,768
1567775703,1280,0
1567776654,256,0
1567781159,0,768
1567783864,256,0
1567790489,256,0
1567804510,0,256
1567852211,0,768
1567862103,512,0
1567866284,256,0
1567870270,0,256
1567872910,0,256
1567905310,768,0
1567953010,0,1280
1567955755,1792,0
1567960269,256,0
1567974610,256,768
1567985410,512,0
1567992788,256,0
1568027761,256,0
1568032211,256,0
1568045711,256,1024
1568050371,256,256
1568078111,0,512
1568103487,0,768
1568125811,768,512
1568133012,256,256
1568140211,256,256
1568151011,512,256
1568220315,768,1792
1568227512,0,256
1568241012,256,0
1568250911,256,0
1568280611,0,512
1568294160,1024,0
1568340913,0,512
1568376903,768,1024
1568377871,256,0
1568403911,256,0
1568450702,0,768
1568464211,0,256
1568471413,512,256
1568482211,256,0
1568496760,256,0
1568500212,256,0
1568511911,512,0
1568554211,0,1280
1568560567,768,0
1568586610,0,512
1568607310,512,0
1568636163,768,0
1568648710,256,1280
1568663110,768,0
1568672111,512,256
1568684199,0,256
1568722510,1280,512
1568727911,0,256
1568747712,0,256
1568772911,0,256
1568800823,0,1792
1568813412,0,256
1568816112,1024,0
1568823312,0,256
1568899811,0,768
1568907010,1280,0
1568916022,0,256
1568921541,256,0
1568936711,256,0
1568985805,512,0
1568997235,0,1024
1569018611,0,512
1569032111,0,256
1569076460,0,512
1569097811,768,256
1569165495,0,768
1569168912,768,0
1569179711,256,0
1569248416,256,0
1569255311,0,768
1569312969,1280,0
1569317410,512,0
1569331810,0,256
1569356111,256,0
1569372311,0,256
1569399311,0,1280
1569428281,0,512
1569455111,768,256
1569460511,256,0
1569471311,256,0
1569504603,1024,0
1569507754,256,0
1569515411,0,512
1569525312,256,0
1569529811,256,0
1569540966,256,0
1569543311,0,256
1569546911,256,0
1569590161,768,768
1569605412,0,256
1569612611,0,256
1569628836,256,0
1569629712,0,256
1569673812,0,1024
1569681011,0,256
1569683703,1024,0
1569689166,0,256
1569692769,0,256
1569768303,0,256
1569788110,256,256
1569799810,0,256
1569848885,768,0
1569852902,0,256
1569853863,256,0
1569861070,0,256
1569885310,0,256
1569892511,256,0
1569928511,0,256
1569935704,768,0
1569936663,256,256
1569951012,0,512
1570025764,1536,512
1570033811,0,256
1570045510,0,256
1570058111,0,256
1570104911,0,1024
1570112110,1024,0
1570145411,256,512
1570191461,768,0
1570209302,256,1024
1570260612,256,0
1570284031,0,1024
1570318393,1024,768
1570321811,256,0
1570378828,0,1024
1570386610,1536,0
1570411810,0,256
1570455912,1536,0
1570468503,256,1024
1570479313,0,256
1570539618,1536,1536
1570555813,512,256
1570637712,256,1792
1570692917,1792,768
1570709711,768,0
1570739403,0,1024
1570770911,256,0
1570815911,1536,1280
1570860026,0,1280
1570922112,512,0
1570929312,0,768
1570970711,1280,0
1570995910,0,512
1571008511,256,0
1571052880,512,768
1571057111,0,256
1571094904,256,0
1571117410,256,256
1571136311,0,512
1571150711,768,0
1571163697,256,0
1571195726,256,512
1571233503,0,1024
1571239806,1536,0
1571250611,256,256
1571326210,768,512
1571330009,0,256
1571337911,256,0
1571345111,256,256
1571358611,0,256
1571416599,768,1280
1571424310,256,256
1571427910,0,256
1571443231,256,0
1571485642,512,1024
1571617813,0,1024
1571714167,1024,0
1571746512,512,0
1571859011,768,2304
1571900411,768,0
1571957420,256,0
1571970611,0,512
1572014712,1024,0
1572039006,0,512
1572071404,256,0
1572098412,0,256
1572109213,0,512
1572111011,768,0
1572114611,256,0
1572194711,256,0
1572197411,0,768
1572208210,512,256
1572262213,1024,0
1572282012,256,768
1572298212,256,0
1572312127,256,0
1572330096,256,0
1572348612,0,1280
1572366613,1280,256
1572376794,0,512
1572383715,512,0
1572396303,0,256
1572406212,0,256
1572440414,768,0
1572443111,0,1024
1572471492,256,256
1572478212,0,256
1572487220,256,0
1572550214,256,1280
1572569113,768,256
1572576312,0,256
1572619512,512,0
1572640212,512,768
1572655137,256,0
1572702304,0,512
1572705911,768,0
1572712213,256,0
1572715812,0,512
1572792303,512,768
1572809411,256,0
1572816611,256,0
1572874212,1792,0
1572881601,0,768
1572888613,0,256
1572910389,0,256
1572913811,256,0
1572954306,0,1536
1572972304,1280,0
1572979513,256,0
1572997513,256,0
1573010362,256,0
1573054213,768,1792
1573062312,256,256
1573076713,256,0
1573081214,0,256
1573089313,0,256
1573133413,0,1024
1573138815,1536,0
1573146013,256,256
1573153213,256,0
1573162204,256,0
1573168512,0,256
1573224313,0,1280
1573229990,0,256
1573237812,0,256
1573246815,768,0
1573248614,0,256
1573263013,512,0
1573310000,768,0
1573320612,256,0
1573329619,0,1024
1573342555,256,0
1573347729,0,256
1573389959,1024,0
1573396596,0,1024
1573404313,0,256
1573412412,256,0
1573421412,256,0
1573426817,256,0
1573428957,256,0
1573433112,256,0
1573472712,512,1024
1573479912,0,256
1573486211,256,0
1573495221,0,256
1573497013,256,0
1573502416,256,0
1573517713,0,512
1573518952,256,0
1573554028,0,512
1573566312,512,256
1573576212,256,256
1573583601,0,256
1573598287,256,256
1573605903,0,256
1573641912,0,768
1573656313,0,256
1573662784,1024,0
1573671617,256,0
1573673539,256,0
1573686913,0,256
1573695014,256,0
1573743613,768,768
1573754417,0,256
1573761616,0,256
1573767912,256,0
1573818372,512,0
1573829116,256,512
1573851614,256,256
1573900617,256,0
1573905616,0,512
1573911913,0,256
1573914613,768,0
1573934421,256,512
1573944084,256,0
1573957812,0,256
1573983410,0,256
1573998312,1024,0
1574001012,0,1280
1574026211,768,0
1574081111,0,1024
1574088312,0,256
1574091010,256,0
1574107220,256,0
1574127256,0,256
1574156712,1536,0
1574168413,256,0
1574182820,0,256
1574188350,0,256
1574199012,0,256
1574207103,256,0
1574238870,0,1280
1574243103,0,256
1574257513,0,256
1574261113,512,0
1574272829,512,256
1574343913,512,0
1574347512,0,256
1574352016,0,256
1574361013,256,0
1574376311,0,256
1574418612,0,768
1574433011,768,0
1574458204,512,256
1574483403,512,0
1574513103,0,768
1574541013,1024,0
1574548766,256,0
1574556312,512,0
1574559903,256,512
1574605805,1024,1792
1574607672,256,0
1574625621,256,0
1574631913,256,0
1574635503,0,256
1574660190,512,0
1574685911,0,1024
1574696079,0,256
1574703912,1280,512
1574712019,0,512
1574727311,0,768
1574728355,256,0
1574779513,1280,0
1574784017,0,1024
1574794816,256,0
1574821813,256,0
1574865912,0,1024
1574885712,512,768
1574947867,1792,0
1574955012,0,768
1574973913,0,256
1575035112,0,768
1575038712,0,256
1575041460,768,0
1575053112,0,256
1575059413,256,0
1575064820,0,256
1575070832,0,256
1575117063,2048,0
1575131411,256,256
1575151221,256,0
1575162012,768,0
1575200712,0,2304
1575214212,0,256
1575218711,768,0
1575225911,0,256
1575233111,0,256
1575250211,0,768
1575286263,1280,0
1575291670,256,0
1575297911,512,0
1575306010,0,512
1575307894,256,0
1575324019,0,256
1575336611,256,0
1575366311,768,0
1575369911,0,1024
1575379811,0,512
1575387911,0,256
1575397811,0,256
1575412211,0,256
1575447547,0,512
1575459912,0,512
1575469811,0,256
1575477911,768,0
1575560711,768,0
1575583217,0,256
1575639911,1792,512
1575649910,256,256
1575662427,0,256
1575675011,0,256
1575714840,768,0
1575718213,256,0
1575721812,0,1024
1575737113,512,256
1575797414,0,768
1575804775,0,256
1575819012,768,256
1575823513,0,256
1575836113,256,0
1575841512,0,512
1575847812,256,0
1575855912,256,0
1575894612,0,1024
1575901810,1280,0
1575924310,256,0
1575931511,0,512
1575936024,0,256
1575937810,256,0
1575984995,768,512
1575988211,0,256
1576011615,256,0
1576024210,0,256
1576074610,0,1024
1576093511,768,512
1576152969,1280,0
1576158311,256,0
1576163711,0,768
1576169111,256,0
1576171813,256,0
1576179012,256,0
1576233912,0,1280
1576240577,0,256
1576266313,768,1024
1576277112,256,0
1576333815,1280,768
1576341100,256,0
1576359012,256,256
1576363514,256,0
1576373412,256,0
1576409588,0,768
1576419369,768,0
1576434823,256,512
1576447219,0,256
1576473483,256,256
1576499411,1024,0
1576515614,0,1280
1576524612,256,0
1576538111,0,256
1576542611,0,256
1576586199,1024,768
1576589413,256,0
1576600210,256,0
1576611011,0,256
1576661606,0,512
1576675810,1280,256
1576683911,0,256
1576701012,256,256
1576710012,256,0
1576755912,0,768
1576772343,0,768
1576777511,1024,0
1576783811,256,0
1576788310,0,512
1576806311,0,256
1576837813,1024,0
1576856048,256,0
1576863911,0,256
1576888498,256,0
1576913413,0,1792
