DateTime,AddedIPs,RemovedIPs
1566916216,256,256
1566930619,256,256
1566937820,256,256
1566941420,256,256
1566944319,256,256
1566952223,256,256
1566998273,2048,2048
1567002625,256,256
1567006229,256,256
1567009831,768,768
1567013434,256,256
1567017004,512,512
1567023347,512,512
1567031453,256,256
1567035003,256,256
1567038652,256,256
1567059476,2304,2304
1567060245,768,768
1567062946,256,256
1567063849,256,256
1567067451,256,256
1567071055,256,256
1567074659,256,256
1567077706,256,256
1567081229,256,256
1567084827,512,512
1567088409,512,512
1567103410,512,512
1567114211,256,256
1567125011,512,512
1567181973,1792,1792
1567189146,256,256
1567204211,256,256
1567230310,256,256
1567260995,1536,1536
1567261858,256,256
1567277649,256,256
1567299614,768,768
1567344205,1536,1536
1567347546,256,256
1567351802,256,256
1567355467,256,256
1567367110,768,768
1567373411,256,256
1567377011,256,256
1567391411,256,256
1567412303,256,256
1567426504,1536,1536
1567427463,256,256
1567431066,256,256
1567440981,256,256
1567459973,256,256
1567484111,256,256
1567520169,2048,2048
1567541712,512,512
1567563311,512,512
1567616415,1280,1280
1567628110,256,256
1567636211,768,768
1567711868,1280,1280
1567718110,256,256
1567726211,256,256
1567775703,1536,1536
1567776654,256,256
1567783864,512,512
1567787465,256,256
1567790489,256,256
1567794611,256,256
1567816211,256,256
1567862103,1280,1280
1567863060,256,256
1567866284,256,256
1567905310,1280,1280
1567955755,2304,2304
1567956666,512,512
1567959303,256,256
1567960269,768,768
1567974610,256,256
1567985410,768,768
1567992788,512,512
1568027761,1536,1536
1568028665,256,256
1568032211,768,768
1568045711,1024,1024
1568050371,256,256
1568060111,512,512
1568078111,512,512
1568125811,1536,1536
1568133012,256,256
1568140211,256,256
1568144711,256,256
1568151011,512,512
1568220315,1280,1280
1568227512,512,512
1568241012,512,512
1568250911,256,256
1568294160,1792,1792
1568304911,512,512
1568376903,1536,1536
1568377871,256,256
1568385012,256,256
1568403911,512,512
1568409310,256,256
1568471413,1280,1280
1568482211,256,256
1568496760,256,256
1568500212,256,256
1568511911,512,512
1568560567,1536,1536
1568580311,256,256
1568586610,256,256
1568607310,512,512
1568614510,256,256
1568626211,256,256
1568636163,1024,1024
1568637067,256,256
1568648710,256,256
1568656821,256,256
1568663110,768,768
1568672111,512,512
1568679311,256,256
1568722510,2560,2560
1568727911,256,256
1568747712,256,256
1568753111,256,256
1568772911,256,256
1568816112,1280,1280
1568830511,256,256
1568841311,256,256
1568907010,1536,1536
1568921541,512,512
1568924111,256,256
1568936711,512,512
1568942111,256,256
1568985805,768,768
1568997235,256,256
1569018611,256,256
1569097811,768,768
1569168912,768,768
1569179711,256,256
1569189631,256,256
1569248416,512,512
1569273312,256,256
1569277812,256,256
1569291312,256,256
1569312969,1280,1280
1569317410,512,512
1569356111,512,512
1569372311,256,256
1569455111,768,768
1569460511,256,256
1569471311,256,256
1569476711,256,256
1569483911,256,256
1569493810,256,256
1569504603,1280,1280
1569507754,256,256
1569515411,256,256
1569525312,512,512
1569529811,256,256
1569532511,256,256
1569540966,256,256
1569546911,512,512
1569590161,2048,2048
1569591002,256,256
1569594186,256,256
1569605412,256,256
1569612611,256,256
1569628836,512,512
1569683703,1280,1280
1569703511,512,512
1569710710,256,256
1569765995,768,768
1569774112,256,256
1569788110,256,256
1569793510,256,256
1569848885,1024,1024
1569850259,256,256
1569853863,256,256
1569868211,512,512
1569892511,256,256
1569935704,1280,1280
1569936663,256,256
1569940269,256,256
1569947517,256,256
1569966312,256,256
1569975312,256,256
1570025764,1792,1792
1570026164,256,256
1570076111,768,768
1570112110,1280,1280
1570130111,512,512
1570145411,256,256
1570170055,512,512
1570191461,1280,1280
1570209302,256,256
1570260612,768,768
1570318393,1024,1024
1570321811,256,256
1570386610,1536,1536
1570403710,256,256
1570455912,1792,1792
1570468503,512,512
1570505411,256,256
1570539618,1792,1792
1570555813,512,512
1570637712,768,768
1570692917,1792,1792
1570709711,1536,1536
1570770911,512,512
1570815911,1536,1536
1570860026,768,768
1570922112,512,512
1570970711,1280,1280
1570977199,256,256
1571008511,256,256
1571025615,512,512
1571052880,768,768
1571094904,256,256
1571117410,512,512
1571150711,1024,1024
1571163697,256,256
1571195726,256,256
1571239806,1792,1792
1571250611,768,768
1571254211,256,256
1571258048,512,512
1571261411,256,256
1571268789,512,512
1571272210,256,256
1571326210,1536,1536
1571337911,256,256
1571345111,256,256
1571416599,1024,1024
1571424310,256,256
1571443231,256,256
1571485642,1024,1024
1571617813,256,256
1571714167,1024,1024
1571726001,512,512
1571746512,768,768
1571859011,1280,1280
1571900411,768,768
1571957420,512,512
1572014712,1024,1024
1572039006,512,512
1572071404,512,512
1572111011,1280,1280
1572114611,256,256
1572125411,512,512
1572194711,768,768
1572208210,512,512
1572262213,1280,1280
1572269411,256,256
1572282012,256,256
1572298212,512,512
1572312127,256,256
1572330096,256,256
1572366613,1280,1280
1572383715,512,512
1572396303,256,256
1572406212,256,256
1572440414,768,768
1572449412,256,256
1572462015,256,256
1572471492,256,256
1572487220,256,256
1572550214,256,256
1572569113,768,768
1572619512,512,512
1572640212,512,512
1572655137,256,256
1572705911,1024,1024
1572712213,256,256
1572734702,256,256
1572792303,1024,1024
1572809411,256,256
1572814812,256,256
1572816611,256,256
1572874212,1792,1792
1572881601,256,256
1572885012,256,256
1572888613,256,256
1572900311,256,256
1572910389,256,256
1572913811,768,768
1572972304,2048,2048
1572979513,256,256
1572997513,256,256
1573010362,256,256
1573054213,1024,1024
1573062312,256,256
1573076713,256,256
1573083238,256,256
1573138815,1536,1536
1573146013,256,256
1573153213,256,256
1573162204,256,256
1573176613,256,256
1573246815,1024,1024
1573263013,512,512
1573310000,1024,1024
1573320612,256,256
1573342555,256,256
1573347729,256,256
1573389959,1280,1280
1573393513,256,256
1573412412,256,256
1573421412,256,256
1573426817,256,256
1573428957,256,256
1573433112,256,256
1573472712,768,768
1573479912,256,256
1573486211,256,256
1573495221,256,256
1573497013,256,256
1573502416,256,256
1573517713,256,256
1573518952,256,256
1573566312,768,768
1573576212,256,256
1573598287,256,256
1573662784,1024,1024
1573671617,256,256
1573673539,256,256
1573678815,256,256
1573695014,256,256
1573743613,1280,1280
1573754417,256,256
1573761616,256,256
1573767912,256,256
1573818372,1024,1024
1573821912,256,256
1573829116,256,256
1573851614,512,512
1573861503,256,256
1573867813,256,256
1573882405,256,256
1573900617,256,256
1573914613,1024,1024
1573934421,512,512
1573944084,256,256
1573998312,1280,1280
1574008211,256,256
1574026211,768,768
1574036112,256,256
1574091010,768,768
1574107220,256,256
1574116212,512,512
1574156712,1536,1536
1574163264,256,256
1574168413,256,256
1574182820,512,512
1574188350,256,256
1574207103,256,256
1574213619,256,256
1574261113,768,768
1574272829,512,512
1574283615,256,256
1574343913,1024,1024
1574359223,256,256
1574361013,256,256
1574366424,256,256
1574401512,256,256
1574433011,1024,1024
1574458204,512,512
1574483403,1024,1024
1574490863,256,256
1574509512,256,256
1574541013,1792,1792
1574548766,256,256
1574556312,512,512
1574559903,256,256
1574595570,256,256
1574605805,1536,1536
1574607672,256,256
1574609462,256,256
1574625621,512,512
1574631913,512,512
1574660190,768,768
1574703912,1280,1280
1574728355,256,256
1574779513,1536,1536
1574784017,512,512
1574794816,256,256
1574798421,256,256
1574804208,256,256
1574821813,256,256
1574885712,768,768
1574892022,256,256
1574947867,1792,1792
1574955012,256,256
1574969541,256,256
1574978418,256,256
1574984703,256,256
1575041460,768,768
1575059413,256,256
1575064820,256,256
1575067104,256,256
1575070832,256,256
1575117063,2560,2560
1575120603,256,256
1575131411,256,256
1575138611,256,256
1575144023,256,256
1575151221,256,256
1575162012,1024,1024
1575218711,1024,1024
1575221411,512,512
1575225911,256,256
1575233111,256,256
1575286263,1280,1280
1575291670,256,256
1575297911,512,512
1575300610,256,256
1575307894,256,256
1575333012,256,256
1575336611,256,256
1575343812,256,256
1575366311,1024,1024
1575379811,512,512
1575387911,256,256
1575477911,768,768
1575487811,256,256
1575506553,256,256
1575560711,1024,1024
1575570611,256,256
1575577810,256,256
1575590429,256,256
1575639911,1792,1792
1575649910,512,512
1575662427,256,256
1575714840,1536,1536
1575718213,256,256
1575737113,512,512
1575748827,256,256
1575765201,512,512
1575819012,1024,1024
1575836113,256,256
1575847812,512,512
1575855912,256,256
1575901810,1280,1280
1575913512,256,256
1575924310,256,256
1575931511,256,256
1575937810,256,256
1575984995,1536,1536
1576011615,512,512
1576017010,256,256
1576031410,256,256
1576038610,256,256
1576045810,256,256
1576056610,256,256
1576093511,1024,1024
1576108829,256,256
1576152969,1536,1536
1576158311,256,256
1576169111,512,512
1576171813,256,256
1576179012,256,256
1576191613,256,256
1576266313,768,768
1576277112,256,256
1576333815,1280,1280
1576341100,256,256
1576345514,256,256
1576359012,256,256
1576363514,512,512
1576369812,256,256
1576373412,256,256
1576419369,1280,1280
1576434823,256,256
1576454425,256,256
1576473483,256,256
1576499411,1024,1024
1576503232,256,256
1576521912,256,256
1576524612,256,256
1576586199,1280,1280
1576589413,512,512
1576600210,256,256
1576611011,256,256
1576629011,512,512
1576675810,1792,1792
1576683911,256,256
1576697411,768,768
1576701012,512,512
1576710012,512,512
1576715412,256,256
1576719011,256,256
1576777511,1024,1024
1576783811,256,256
1576791911,256,256
1576799111,256,256
1576837813,2048,2048
1576848905,256,256
1576856048,256,256
1576863911,512,512
1576888498,256,256
