DateTime,AddedIPs,RemovedIPs
1576224006,22,15
1576225954,21,11
1576228116,28,0
1576229402,309,0
1576232183,14,25
1576234376,44,10
1576236288,35,14
1576236992,1064,0
1576238171,187,33
1576242032,42,31
1576243949,21,18
1576244702,392,0
1576245873,23,17
1576247776,13,12
1576249941,25,18
1576251852,22,10
1576251902,259,0
1576253790,14,36
1576255691,7,0
1576257607,19,26
1576259543,162,42
1576261449,23,0
1576263380,15,11
1576265286,384,20
1576267225,18,18
1576269153,14,35
1576269902,292,0
1576271063,14,0
1576273214,12,16
1576275399,22,26
1576277546,27,14
1576278002,345,0
1576278730,35,40
1576279462,31,14
1576281369,18,8
1576281603,153,3971
1576283287,20,13
1576285225,27,9
1576286647,227,60
1576287152,21,11
1576289056,166,9
1576290971,25,13
1576292402,154,0
1576293157,42,26
1576295052,33,20
1576296002,144,0
1576297223,18,11
1576299126,18,6
1576299602,150,0
1576301053,19,17
1576302982,16,11
1576305167,29,11
1576307063,21,19
1576309228,299,18
1576311134,22,18
1576313055,23,19
1576314002,281,0
1576314976,11,22
1576316908,12,0
1576318807,15,17
1576320733,19,0
1576322102,322,0
1576322662,16,37
1576324569,16,29
1576325702,168,0
1576326734,24,22
1576328899,21,38
1576329616,1042,1803
1576330824,23,20
1576332744,13,22
1576332902,138,0
1576334663,20,16
1576336575,15,23
1576338749,12,18
1576340102,275,0
1576342569,22,20
1576344486,20,18
1576346423,22,19
1576347302,293,0
1576348367,12,16
1576350507,14,15
1576352423,12,20
1576354580,15,11
1576356738,267,19
1576358648,13,15
1576360588,13,12
1576362488,152,20
1576364421,52,49
1576365303,274,0
1576366341,17,27
1576368277,9,15
1576370168,23,11
1576372362,55,55
1576374250,132,3698
1576376187,54,86
1576377002,404,0
1576378095,18,19
1576380022,21,18
1576381945,15,28
1576382888,16,38
1576383855,17,24
1576384202,231,0
1576385779,17,17
1576387690,11,19
1576389615,6,17
1576391550,16,0
1576393519,240,47
1576395383,15,0
1576397312,16,23
1576399228,150,20
1576399501,123,0
1576401146,9,27
1576403054,13,14
1576403102,154,0
1576404974,8,12
1576407150,120,29
1576409051,11,0
1576410269,789,0
1576410302,116,0
1576412887,7,32
1576413902,110,0
1576414822,27,30
1576416750,22,18
1576417502,100,0
1576420814,10,42
1576421102,126,0
1576422738,25,18
1576424664,18,15
1576426576,10,13
1576428732,14,0
1576430650,241,23
1576432579,13,23
1576434495,23,19
1576435502,226,0
1576436412,18,13
1576438338,34,15
1576440500,23,11
1576442412,12,14
1576444348,124,12
1576446251,13,12
1576447202,259,0
1576448417,14,10
1576450353,18,19
1576450802,112,0
1576452260,21,8
1576453447,39,82
1576454169,13,15
1576454402,134,3500
1576458021,25,35
1576459942,133,20
1576461126,74,77
1576462109,262,15
1576464013,14,20
1576465203,169,0
1576467867,20,34
1576468326,16,0
1576468802,167,0
1576469778,17,13
1576471961,26,17
1576472402,123,0
1576473861,9,14
1576475769,24,11
1576476002,144,0
1576477935,20,5
1576479602,197,0
1576482023,22,47
1576484182,11,16
1576486334,18,18
1576486803,410,0
1576488250,12,11
1576490179,24,14
1576492090,7,8
1576494028,5,14
1576495950,335,13
1576500011,22,6
1576501934,167,23
1576502102,195,0
1576502657,853,1712
1576503861,19,19
1576505784,187,0
1576507934,16,12
1576509877,15,27
1576511770,7,19
1576512902,284,0
1576513687,17,11
1576515619,13,14
1576516502,174,0
1576517562,11,17
1576519711,10,11
1576521611,15,26
1576523552,20,19
1576523701,251,0
1576525451,13,35
1576527613,12,21
1576529544,14,11
1576531453,301,13
1576533389,13,13
1576535286,24,12
1576537210,19,17
1576539365,174,0
1576541061,14,28
1576541702,235,3112
1576542980,21,0
1576545166,13,26
1576545302,112,0
1576547053,102,49
1576548993,180,11
1576550894,22,15
1576552502,200,0
1576552818,19,0
1576554005,18,13
1576554741,16,20
1576556102,180,0
1576556660,16,16
1576558576,19,26
1576559702,156,0
1576560492,15,8
1576561712,823,0
1576562433,22,26
1576563302,172,0
1576564335,15,0
1576566254,22,15
1576566902,174,0
1576568184,17,0
1576570114,16,18
1576570502,168,0
1576572023,12,9
1576574189,166,19
1576576107,5,14
1576578040,195,22
1576579940,10,6
1576581302,180,0
1576581852,12,6
1576584041,12,8
1576584902,195,0
1576588108,19,23
1576588502,142,0
1576590014,13,13
1576591951,24,21
1576592102,146,0
1576593855,14,15
1576595777,165,16
1576597715,14,11
1576599618,156,6
1576601530,7,17
1576602902,125,0
1576605370,10,22
1576606502,161,0
1576607287,12,11
1576609225,10,17
1576610102,160,0
1576613701,171,0
1576614970,17,40
1576617140,14,17
1576617301,194,0
1576619053,20,21
1576620982,213,10
1576622890,24,21
1576624331,38,37
1576624815,180,20
1576626729,16,0
1576628102,149,3601
1576628660,17,13
1576630566,18,17
1576631702,221,0
1576632246,75,66
1576632738,16,9
1576634653,9,19
1576635302,209,0
1576636580,15,11
1576638756,9,22
1576638902,194,0
1576639444,21,20
1576640649,24,17
1576642822,192,15
1576644726,16,17
1576646101,161,0
1576646662,23,20
1576648567,20,16
1576649702,209,0
1576650746,21,35
1576652654,21,0
1576653302,193,0
1576653869,907,1680
1576654584,23,18
1576654809,907,0
1576656513,23,14
1576656902,164,0
1576658428,14,25
1576660341,8,0
1576660502,171,0
1576662252,16,7
1576664184,163,7
1576666089,4,6
1576667702,183,0
1576668021,13,12
1576669931,13,15
1576671302,149,0
1576671853,22,12
1576674035,9,0
1576674902,146,0
1576675933,8,15
1576678102,10,11
1576678502,154,0
1576680025,9,23
1576682181,206,17
1576684329,11,10
1576685702,148,0
1576686268,9,27
1576688174,5,11
1576688898,780,0
1576689302,157,0
1576690109,2,0
1576692013,17,7
1576692902,105,0
1576693953,6,13
1576696110,7,9
1576696502,152,0
1576698010,15,0
1576700195,134,0
1576702095,20,14
1576703702,124,0
1576704024,12,14
1576705933,10,15
1576707302,147,0
1576707864,21,17
1576709768,14,19
1576710902,126,0
1576711945,19,14
1576713131,40,70
1576714122,14,12
1576714502,127,3866
1576716011,17,18
1576717949,18,17
1576718102,145,0
1576719848,15,12
1576720817,79,171
1576722014,191,9
1576723929,17,17
1576725302,136,0
1576725866,12,11
1576727768,9,24
1576728729,15,36
1576728902,163,0
1576729689,15,7
1576731628,16,14
1576732502,168,0
1576733541,18,26
1576735470,19,23
1576736102,182,0
1576737372,13,23
1576739537,14,23
1576739702,194,0
1576741450,15,19
1576743639,189,19
1576745530,29,12
1576746902,179,0
1576747451,10,6
1576749417,18,16
1576750501,202,0
1576751288,4,6
1576753217,10,4
1576754102,162,0
1576755151,22,12
1576757054,26,14
1576757548,820,1784
1576757702,149,0
1576758980,23,17
1576760896,18,7
1576761302,207,0
1576762831,13,8
1576764988,191,9
1576767128,31,10
1576768502,135,0
1576769062,13,10
1576770968,18,7
1576772102,126,0
1576772900,12,4
1576774860,13,8
1576775702,147,0
1576776749,12,2
1576778907,16,13
1576779302,131,0
1576780838,824,774
1576782745,8,8
1576782901,102,0
1576784667,18,9
1576785496,891,0
1576786502,122,0
1576788727,10,32
1576789708,776,0
1576790102,102,0
1576790652,8,12
1576792570,9,12
1576793702,90,0
1576794787,793,17
1576796664,7,11
1576797302,106,0
1576798584,59,21
1576800492,6,0
1576800901,74,3893
1576802413,14,30
1576804344,3,0
1576804502,147,0
1576806259,97,35
1576808177,171,0
1576810333,8,27
1576811702,149,0
1576812249,10,0
1576814193,31,21
1576815302,128,0
1576816088,8,0
1576818030,5,30
1576818902,161,0
1576819930,14,0
1576822107,13,29
1576822502,182,0
1576824011,10,10
1576825957,20,16
1576826102,168,0
1576830016,169,14
1576831928,12,23
1576833302,172,0
1576833867,7,35
1576836901,159,0
1576837938,9,22
1576839875,17,11
1576840502,149,0
1576841772,16,23
1576843940,8,28
1576844102,164,0
1576845849,11,23
1576847782,190,16
1576849688,6,11
1576851302,147,0
1576851605,8,19
1576854024,921,790
1576854902,146,0
1576855452,20,26
1576855962,904,0
1576857378,23,28
1576858502,133,0
1576859285,14,0
1576859557,798,0
1576861216,7,9
1576862102,118,0
1576863147,11,14
1576865318,11,24
1576865701,126,0
1576867220,18,0
1576869151,17,28
1576869302,790,0
1576871048,6,0
1576872995,106,17
1576874890,12,0
1576876502,111,0
1576877054,13,14
1576879224,12,14
1576880102,86,0
1576881149,5,0
1576881868,694,3207
1576883066,11,25
1576883702,109,0
1576884730,38,44
1576884978,13,0
1576886888,10,15
1576887302,112,3690
1576888810,12,12
1576890744,16,13
1576890902,148,0
1576892406,81,82
1576892653,10,5
1576893129,928,0
1576894583,146,23
1576896502,11,0
1576898102,161,0
1576898406,10,8
1576900084,18,19
1576900328,11,10
1576902020,1028,0
1576902257,5,9
1576904166,15,9
1576905302,168,0
1576906088,7,5
1576908024,15,12
1576908902,155,0
1576909932,13,12
1576911855,11,12
1576912502,141,0
1576914024,8,25
1576915937,7,0
1576916102,133,0
1576917852,6,10
1576919788,168,11
1576921695,9,6
1576923302,168,0
1576923619,7,0
1576925532,4,7
1576926902,177,0
1576927449,5,18
