DateTime,Entries,UniqueIPs
1576224006,8303,8601
1576225954,8313,8611
1576228116,8341,8639
1576229402,8637,8948
1576232183,8629,8937
1576234376,8663,8971
1576236288,8683,8992
1576236992,9733,10056
1576238171,9879,10210
1576242032,9890,10221
1576243949,9895,10224
1576244702,10270,10616
1576245873,10275,10622
1576247776,10276,10623
1576249941,10282,10630
1576251852,10294,10642
1576251902,10548,10901
1576253790,10527,10879
1576255691,10534,10886
1576257607,10527,10879
1576259543,10637,10999
1576261449,10660,11022
1576263380,10663,11026
1576265286,11013,11390
1576267225,11013,11390
1576269153,10992,11369
1576269902,11273,11661
1576271063,11287,11675
1576273214,11283,11671
1576275399,11278,11667
1576277546,11290,11680
1576278002,11618,12025
1576278730,11617,12020
1576279462,11634,12037
1576281369,11643,12047
1576281603,8022,8229
1576283287,8028,8236
1576285225,8046,8254
1576286647,8194,8421
1576287152,8204,8431
1576289056,8357,8588
1576290971,8369,8600
1576292402,8512,8754
1576293157,8528,8770
1576295052,8540,8783
1576296002,8676,8927
1576297223,8683,8934
1576299126,8694,8946
1576299602,8834,9096
1576301053,8837,9098
1576302982,8840,9103
1576305167,8857,9121
1576307063,8859,9123
1576309228,9118,9404
1576311134,9122,9408
1576313055,9126,9412
1576314002,9391,9693
1576314976,9379,9682
1576316908,9391,9694
1576318807,9388,9692
1576320733,9407,9711
1576322102,9716,10033
1576322662,9695,10012
1576324569,9683,9999
1576325702,9844,10167
1576326734,9845,10169
1576328899,9828,10152
1576329616,9070,9391
1576330824,9073,9394
1576332744,9066,9385
1576332902,9197,9523
1576334663,9202,9527
1576336575,9195,9519
1576338749,9188,9513
1576340102,9450,9788
1576342569,9452,9790
1576344486,9454,9792
1576346423,9457,9795
1576347302,9730,10088
1576348367,9726,10084
1576350507,9725,10083
1576352423,9717,10075
1576354580,9721,10079
1576356738,9954,10327
1576358648,9952,10325
1576360588,9953,10326
1576362488,10076,10458
1576364421,10084,10461
1576365303,10350,10735
1576366341,10340,10725
1576368277,10334,10719
1576370168,10346,10731
1576372362,10342,10731
1576374250,6929,7165
1576376187,6901,7133
1576377002,7288,7537
1576378095,7287,7536
1576380022,7290,7539
1576381945,7277,7526
1576382888,7257,7504
1576383855,7254,7497
1576384202,7465,7728
1576385779,7465,7728
1576387690,7456,7720
1576389615,7445,7709
1576391550,7461,7725
1576393519,7648,7918
1576395383,7663,7933
1576397312,7656,7926
1576399228,7781,8056
1576399501,7903,8179
1576401146,7886,8161
1576403054,7885,8160
1576403102,8022,8314
1576404974,8017,8310
1576407150,8103,8401
1576409051,8114,8412
1576410269,8896,9201
1576410302,9002,9317
1576412887,8977,9292
1576413902,9085,9402
1576414822,9083,9399
1576416750,9087,9403
1576417502,9185,9503
1576420814,9153,9471
1576421102,9274,9597
1576422738,9281,9604
1576424664,9283,9607
1576426576,9281,9604
1576428732,9295,9618
1576430650,9505,9836
1576432579,9495,9826
1576434495,9499,9830
1576435502,9712,10056
1576436412,9715,10061
1576438338,9734,10080
1576440500,9745,10092
1576442412,9743,10090
1576444348,9851,10202
1576446251,9852,10203
1576447202,10095,10462
1576448417,10100,10466
1576450353,10098,10465
1576450802,10206,10577
1576452260,10218,10590
1576453447,10179,10547
1576454169,10177,10545
1576454402,6961,7179
1576458021,6951,7169
1576459942,7061,7282
1576461126,7060,7279
1576462109,7294,7526
1576464013,7289,7520
1576465203,7440,7689
1576467867,7425,7675
1576468326,7441,7691
1576468802,7603,7858
1576469778,7606,7862
1576471961,7615,7871
1576472402,7735,7994
1576473861,7730,7989
1576475769,7744,8002
1576476002,7882,8146
1576477935,7895,8161
1576479602,8082,8358
1576482023,8057,8333
1576484182,8053,8328
1576486334,8054,8328
1576486803,8447,8738
1576488250,8448,8739
1576490179,8458,8749
1576492090,8456,8748
1576494028,8447,8739
1576495950,8755,9061
1576500011,8771,9077
1576501934,8907,9221
1576502102,9098,9416
1576502657,8244,8557
1576503861,8243,8557
1576505784,8425,8744
1576507934,8429,8748
1576509877,8417,8736
1576511770,8406,8724
1576512902,8678,9008
1576513687,8684,9014
1576515619,8683,9013
1576516502,8855,9187
1576517562,8850,9181
