DateTime,AddedIPs,RemovedIPs
1576553522,107,114
1576554123,1,1
1576554722,1,0
1576555424,81,91
1576555923,2,0
1576556523,2,1
1576557122,2,0
1576557722,2,0
1576558322,1,0
1576558962,3,2
1576559522,6,0
1576560122,3,0
1576560722,50,56
1576561322,1,0
1576562563,5,1
1576563122,3,0
1576563722,2,0
1576564322,64,49
1576564922,1,0
1576566122,57,43
1576566163,0,3
1576567322,2,0
1576567922,5,0
1576568523,1,0
1576569123,1,0
1576569763,5,1
1576570322,6,0
1576570922,4,0
1576571522,56,44
1576572122,8,0
1576572722,1,0
1576573363,76,48
1576573922,2,0
1576574523,1,0
1576575122,7,0
1576575722,1,0
1576577023,2,1
1576577522,2,0
1576578122,2,0
1576578722,56,50
1576579322,4,0
1576580522,3,0
1576581722,2,0
1576582922,2,1
1576583522,1,0
1576584164,97,80
1576584722,2,0
1576585322,4,0
1576585922,1,0
1576586522,2,0
1576587122,4,0
1576587763,0,2
1576588922,2,0
1576590122,2,0
1576591363,57,53
1576591922,1,0
1576592522,4,0
1576593070,66,54
1576593722,3,0
1576594322,7,0
1576595083,1,3
1576596121,4,0
1576596722,1,0
1576597322,70,33
1576597922,3,0
1576598624,2,0
1576599122,8,0
1576599722,1,0
1576600921,53,56
1576601522,1,0
1576602165,4,1
1576602722,3,0
1576603323,3,0
1576603922,54,54
1576604522,3,0
1576605122,3,0
1576605825,2,1
1576607522,1,0
1576608122,2,0
1576609323,83,53
1576609424,0,2
1576610521,3,0
1576611122,76,54
1576611722,3,0
1576612322,1,0
1576612922,4,0
1576613522,1,0
1576614122,3,0
1576614722,2,0
1576615475,1458,455
1576616624,71,62
1576617121,1,0
1576617722,2,0
1576618322,71,64
1576618922,1,0
1576619522,7,0
1576620163,3,1
1576621322,1,0
1576621922,2,0
1576622522,1,0
1576623122,11,0
1576623823,65,84
1576624322,1,0
1576624922,5,0
1576625522,50,79
1576626122,1,1
1576626722,1,0
1576627363,4,0
1576627922,2,0
1576629122,60,78
1576630922,2,0
1576631522,8,0
1576632722,1,0
1576633322,10,0
1576633922,1,0
1576634564,51,84
1576635122,2,0
1576635723,3,0
1576636922,5,0
1576637522,3,0
1576638722,36,59
1576639322,2,0
1576639922,64,72
1576641122,1,0
1576641763,3,0
1576642922,1,0
1576643522,74,82
1576644122,1,0
1576645365,83,73
1576645922,2,0
1576646522,1,0
1576647122,106,133
1576647723,1,1
1576648323,2,0
1576649023,1,1
1576649522,2,0
1576650122,7,0
1576650722,59,55
1576651322,4,0
1576652564,4,1
1576653722,1,0
1576654322,68,33
1576654922,2,0
1576655522,3,0
1576656224,4,0
1576656722,1,0
1576657322,1,0
1576657922,62,48
1576658522,1,0
1576659764,59,45
1576660322,1,0
1576660922,1,0
1576661523,2,0
1576662122,1,0
1576662722,1,0
1576663364,1,0
1576663922,3,0
1576665122,61,40
1576666321,1,0
1576667027,2,1
1576667522,4,0
1576668722,5,1
1576669922,1,0
1576670565,51,51
1576671122,0,1
1576672322,46,48
1576673522,1,0
1576674722,62,43
1576675922,6,0
1576677122,9,0
1576677765,3,0
1576678922,2,0
1576679522,3,0
1576680122,5,0
1576681433,60,48
1576681922,1,0
1576682522,2,0
1576683035,3,0
1576683064,48,56
1576683721,1,1
1576684922,3,0
1576685522,6,2
1576686122,3,0
1576686722,53,41
1576687322,4,0
1576688564,3,0
1576689122,1,0
1576689722,3,0
1576690322,82,49
1576690922,5,0
1576691522,1,0
1576692164,3,1
1576692722,1,0
1576693322,3,0
1576693922,70,66
1576694522,3,0
1576695122,0,1
1576695767,5,0
1576696322,2,0
1576696923,4,0
1576697522,1,0
1576698122,9,0
1576698722,2,0
1576699364,80,113
1576699922,0,1
1576701122,67,54
1576701722,4,1
1576702864,1505,346
1576702964,2,0
1576704122,1,0
1576704722,13,0
1576705922,2,0
1576706564,56,56
1576707122,3,0
1576707722,1,0
1576708322,63,73
1576709522,3,0
1576710122,6,0
1576710722,1,1
1576711322,2,0
1576711922,47,90
1576713122,2,0
1576713764,2,1
1576714323,1,0
1576714922,6,1
1576715522,60,69
1576716722,5,0
1576717366,3,0
1576717922,7,0
1576718522,3,0
1576719122,52,67
1576719722,1,0
1576720321,3,0
1576720965,2,10
1576721522,1,0
1576722122,1,1
1576723322,2,0
1576724564,39,50
1576725722,2,0
1576726322,60,83
1576726922,1,0
1576727522,1,0
1576728165,2,6
1576728722,2,0
1576729322,5,0
1576729922,73,84
1576731122,2,0
1576731764,4,1
1576732322,4,0
1576732922,9,0
1576733522,1,0
1576734122,50,54
1576734721,1,1
1576735365,1,1
1576735922,1,0
1576736522,6,0
1576737122,59,52
1576737722,2,0
1576738922,4,0
1576739522,0,2
1576740122,2,0
1576740722,78,47
1576741323,1,0
1576741922,2,0
1576742565,2,1
1576743121,2,0
1576743722,2,0
1576744322,58,52
1576744922,3,0
1576746122,75,55
1576747322,7,0
1576747921,1,0
1576750322,0,1
1576751522,51,50
1576752722,2,0
1576753425,1,0
1576753922,2,0
1576754522,8,0
1576755122,40,44
1576756966,0,2
1576758122,3,0
1576759322,47,42
1576759922,1,0
1576760565,6,2
1576761722,0,1
1576762341,61,51
1576762922,1,0
1576763522,3,0
1576764165,56,44
1576765322,1,0
1576765923,4,0
1576766522,4,0
1576767766,0,1
1576768322,2,0
1576768922,2,0
1576769477,62,49
1576770122,2,0
1576771425,50,61
1576771922,1,0
1576773122,2,0
1576773722,98,74
1576774322,1,0
1576775026,2,2
1576775522,8,0
1576776122,2,0
1576776722,63,35
1576777922,1,0
1576778566,4,0
1576779722,1,0
1576780321,72,59
1576782121,2,0
1576782722,0,2
1576783322,11,0
1576783922,55,58
1576784522,5,0
1576785122,2,0
1576785766,6,1
1576786321,1,0
1576786922,1,1
1576787522,75,57
1576788122,1,0
1576789426,2,0
1576790215,1278,383
1576790522,1,0
1576791722,60,59
1576792322,1,0
1576793026,3,1
1576793522,1,0
1576794122,6,0
1576794722,1,2
1576795323,65,80
1576796522,2,1
1576797122,3,0
1576798322,55,77
1576798922,2,0
1576799522,17,0
1576800123,59,75
1576801922,5,0
1576802522,1,0
1576803766,1,2
1576804321,0,1
1576804322,1,0
1576804922,1,0
1576805522,52,79
1576806122,3,0
1576806722,3,0
1576807366,39,41
1576807922,2,0
1576808522,1,0
1576809121,5,0
1576809722,1,0
1576810322,0,1
1576811522,2,0
1576812723,71,71
1576813922,1,0
1576815122,2,0
1576815722,1,0
1576816922,2,0
1576818723,85,85
1576819322,6,0
1576819922,53,70
1576820521,6,0
1576821767,1,5
1576822322,1,0
1576822922,1,0
1576823522,70,58
1576824122,3,0
1576824722,0,1
1576825366,2,0
1576827122,60,38
1576827722,2,0
1576828322,2,0
1576829027,1,2
1576829522,1,0
1576830722,49,41
1576831922,1,0
1576832627,0,1
1576833721,8,0
1576834321,55,44
1576834922,2,0
1576835522,3,0
1576836166,54,40
1576837322,1,0
1576837922,4,0
1576838522,2,0
1576839122,1,0
1576839766,0,1
1576841521,63,45
1576842121,2,0
1576843322,60,47
1576843922,0,2
1576844522,2,0
1576845722,2,0
1576846966,2,3
1576847522,1,0
1576848122,1,0
1576848722,45,51
1576849322,1,0
1576849922,2,0
1576850522,3,0
1576851123,2,0
1576851722,1,0
1576852323,48,48
1576852922,1,0
1576853522,5,0
1576854167,1,0
1576855321,2,0
1576856522,2,0
1576857122,1,0
1576857722,55,48
1576857767,0,1
1576858322,2,0
1576858922,1,0
1576859522,62,38
1576861367,1,0
1576861922,1,0
1576862522,8,0
1576863122,1,0
1576864966,60,61
1576865522,1,0
1576866122,1,0
1576866722,66,44
1576867322,2,0
1576868567,61,52
1576869122,1,0
1576869722,3,0
1576870922,6,0
1576872167,11,0
1576872722,1,0
1576873322,2,0
1576873922,53,52
1576874522,5,0
1576876922,5,0
1576877323,1457,270
1576877523,65,65
1576878122,2,0
1576878721,1,0
1576879367,2,1
1576879922,1,0
1576880522,1,0
1576881122,59,65
1576881722,8,0
1576882322,3,0
1576882922,9,0
1576883522,3,2
1576884122,1,0
1576884722,3,0
1576885322,55,83
1576886567,5,0
1576887123,2,0
1576887722,1,0
1576888322,51,67
1576890168,6,1
