DateTime,AddedIPs,RemovedIPs
1576636580,36,22
1576637254,10,13
1576637973,16,8
1576638756,14,20
1576639414,12,33
1576640133,10,15
1576640649,14,0
1576640853,12,11
1576641573,20,11
1576642294,28,10
1576642822,5,5
1576643013,52,17
1576643733,579,26
1576644453,11,9
1576644726,11,0
1576644976,18,2
1576645174,19,9
1576645894,5,16
1576646662,38,17
1576647333,11,11
1576648054,11,8
1576648567,13,6
1576648774,9,5
1576649494,7,11
1576650213,14,11
1576650746,18,9
1576650934,11,8
1576651654,11,11
1576652373,11,7
1576652654,15,8
1576653094,4,16
1576653813,12,12
1576654584,19,23
1576655313,8,21
1576655973,10,8
1576656513,14,18
1576656932,16,13
1576657652,11,7
1576658428,32,21
1576659141,8,13
1576659608,15,0
1576659814,15,13
1576660341,4,10
1576660533,3,9
1576661253,15,13
1576661973,10,17
1576662252,13,16
1576662694,13,10
1576663654,7,19
1576664184,4,14
1576664373,5,9
1576665093,4,11
1576665813,7,13
1576666089,2,21
1576666534,9,6
1576667300,8,19
1576668021,21,22
1576668693,13,6
1576669413,16,9
1576669931,11,17
1576670133,10,7
1576670910,11,4
1576671573,2,8
1576671853,17,13
1576672293,7,14
1576673013,7,18
1576674035,19,26
1576674753,22,17
1576675412,5,3
1576675933,6,7
1576676134,7,3
1576676853,9,7
1576677363,1,0
1576677574,4,7
1576678102,7,17
1576678533,11,16
1576679252,4,13
1576680025,20,7
1576680693,4,6
1576681654,9,10
1576682181,8,11
1576682422,5,4
1576683093,5,2
1576683814,9,13
1576684329,10,16
1576684533,6,2
1576685492,9,8
1576686268,9,18
1576686933,6,5
1576687653,5,4
1576688174,6,19
1576688373,3,9
1576689384,29,9
1576690109,51,24
1576690774,6,4
1576691493,10,12
1576692013,9,13
1576692454,7,6
1576693173,10,46
1576693953,10,74
1576694614,6,61
1576695333,5,6
1576696110,19,63
1576696773,8,60
1576697493,7,51
1576698010,7,17
1576698214,6,5
1576699172,14,54
1576700195,43,70
1576700854,8,54
1576701624,11,53
1576702095,16,13
1576703253,16,58
1576704024,26,65
1576704933,7,10
1576705653,4,14
1576705933,11,12
1576706373,2,57
1576707093,7,3
1576707864,17,23
1576708533,9,2
1576709253,5,2
1576709768,12,10
1576709974,3,14
1576710693,1,11
1576711211,1,0
1576711412,2,8
1576711945,16,17
1576712133,5,8
1576712852,5,6
1576713371,22,15
1576713572,7,8
1576714122,10,7
1576714292,16,12
1576715013,15,9
1576715733,13,7
1576716011,16,14
1576716453,14,16
1576717174,16,10
1576717949,30,31
1576718659,28,23
1576719332,17,11
1576719848,12,17
1576720052,28,20
1576720832,20,18
1576721285,1,0
1576721494,6,12
1576722014,10,16
1576722214,20,17
1576722933,17,27
1576723653,6,10
1576723929,10,15
1576724373,19,13
1576725093,17,9
1576725866,35,8
1576726533,15,9
1576727254,11,7
1576727768,6,12
1576727973,12,19
1576728745,13,13
1576729413,19,52
1576729689,13,15
1576730134,25,809
1576730853,13,11
1576731628,20,32
1576732293,4,9
1576733014,10,13
1576733541,29,15
1576733973,12,18
1576734694,9,9
1576735470,32,10
1576736133,6,7
1576736853,9,12
1576737372,9,0
1576737574,9,10
1576738294,8,13
1576739012,8,9
1576739537,12,12
1576739733,16,3
1576740453,14,10
1576741173,17,5
1576741450,12,0
