DateTime,AddedIPs,RemovedIPs
1576514522,3,1
1576515123,4,0
1576515722,7,0
1576517522,4,0
1576518121,3,0
1576518722,1,0
1576519322,2,0
1576519922,3,0
1576520522,2,0
1576521122,7,0
1576521722,1,0
1576522322,5,0
1576522922,3,1
1576524123,4,0
1576524722,3,0
1576525322,2,0
1576527122,4,0
1576527722,4,0
1576528364,1529,393
1576528921,1,0
1576529522,2,0
1576531323,13,0
1576531922,8,0
1576532523,2,0
1576533122,1,0
1576533722,4,0
1576534922,8,0
1576536122,7,0
1576536722,2,0
1576537322,4,0
1576537922,2,0
1576538522,5,0
1576539722,1,0
1576540922,5,0
1576542122,1,1
1576543322,3,0
1576543922,1,0
1576545122,5,0
1576545722,5,0
1576546322,4,0
1576546922,1,0
1576548122,2,1
1576548722,2,0
1576549322,2,0
1576549922,1,0
1576550522,5,0
1576551122,3,0
1576551722,6,0
1576552322,1,0
1576552922,3,0
1576553522,6,0
1576554123,1,1
1576554722,1,0
1576555322,3,0
1576555923,2,0
1576556523,2,1
1576557122,2,0
1576557722,2,0
1576558322,1,0
1576558923,3,0
1576559522,6,0
1576560122,3,0
1576561322,1,0
1576562522,5,0
1576563122,3,0
1576563722,2,0
1576564322,3,0
1576564922,1,0
1576566122,1,0
1576567322,2,0
1576567922,5,0
1576568523,1,0
1576569123,1,0
1576569721,5,0
1576570322,6,0
1576570922,4,0
1576571522,6,0
1576572122,8,0
1576572722,1,0
1576573322,6,0
1576573922,2,0
1576574523,1,0
1576575122,7,0
1576575722,1,0
1576576922,2,0
1576577522,2,0
1576578122,2,0
1576578722,3,0
1576579322,4,0
1576580522,3,0
1576581722,2,0
1576582922,2,1
1576583522,1,0
1576584123,1,0
1576584722,2,0
1576585322,4,0
1576585922,1,0
1576586522,2,0
1576587122,4,0
1576588922,2,0
1576590122,2,0
1576591322,2,0
1576591922,1,0
1576592522,4,0
1576593722,3,0
1576594322,7,0
1576594922,1,0
1576596121,4,0
1576596722,1,0
1576597322,2,0
1576597922,3,0
1576598522,2,0
1576599122,8,0
1576599722,1,0
1576601522,1,0
1576602122,4,0
1576602722,3,0
1576603323,3,0
1576603922,1,0
1576604522,3,0
1576605122,3,0
1576605722,2,0
1576607522,1,0
1576608122,2,0
1576609323,5,0
1576610521,3,0
1576611122,1,1
1576611722,3,0
1576612322,1,0
1576612922,4,0
1576613522,1,0
1576614122,3,0
1576614722,2,0
1576615475,1458,455
1576616522,2,0
1576617121,1,0
1576617722,2,0
1576618922,1,0
1576619522,7,0
1576620122,3,0
1576621322,1,0
1576621922,2,0
1576622522,1,0
1576623122,11,0
1576623722,3,0
1576624322,1,0
1576624922,5,0
1576626122,1,1
1576626722,1,0
1576627323,4,0
1576627922,2,0
1576630922,2,0
1576631522,8,0
1576632722,1,0
1576633322,10,0
1576633922,1,0
1576634522,5,0
1576635122,2,0
1576635723,3,0
1576636922,5,0
1576637522,3,0
1576638722,1,0
1576639322,2,0
1576639922,0,1
1576641122,1,0
1576641722,3,0
1576642922,1,0
1576643522,1,0
1576644122,1,0
1576645322,1,0
1576645922,2,0
1576646522,1,0
1576647723,1,1
1576648323,2,0
1576648922,1,1
1576649522,2,0
1576650122,7,0
1576650722,1,0
1576651322,4,0
1576652522,3,0
1576653722,1,0
1576654322,1,0
