DateTime,AddedIPs,RemovedIPs
1561146256,1,3
1561187318,1,0
1561231002,1,0
1561232406,1,4
1561318804,4,1
1561362033,1,0
1561405210,1,3
1561449637,2,0
1561491609,2,1
1561517526,148,175
1561537215,1,0
1561578005,2,3
1561624576,1,0
1561664888,3,4
1561668273,1,0
1561750805,2,1
1561755623,2,0
1561799311,4,0
1561837207,1,1
1561842979,2,0
1561886651,2,0
1561923606,4,3
1561930353,4,0
1561974010,3,0
1562010004,2,5
1562017715,1,0
1562061391,1,0
1562096650,4,3
1562148764,2,0
1562182804,3,1
1562194128,1,0
1562237784,1,0
1562269448,3,3
1562281459,3,0
1562325131,1,0
1562355605,3,7
1562368805,2,0
1562412497,3,0
1562442005,4,0
1562456174,1,0
1562499867,1,0
1562528646,1,4
1562543534,3,0
1562587219,3,0
1562614806,5,2
1562630912,4,0
1562674572,1,0
1562701205,2,4
1562718251,3,0
1562761941,1,0
1562787370,1,2
1562805608,1,0
1562809217,177,143
1562874008,3,1
1562892987,2,0
1562936653,1,0
1562960648,2,3
1562980337,1,0
1563024011,1,0
1563046805,3,2
1563111384,4,0
1563133445,4,2
1563155074,1,0
1563198734,1,0
1563219608,2,5
1563242414,1,0
1563306006,2,1
1563329775,2,0
1563392407,3,2
1563417150,1,0
1563460827,1,0
1563478807,2,2
1563504758,1,0
1563548422,1,0
1563565205,2,2
1563592116,2,0
1563635789,1,0
1563651606,1,2
1563679450,1,0
1563723148,1,0
1563738005,0,4
1563810509,2,0
1563824404,4,2
1563854183,1,0
1563897880,2,0
1563911048,4,2
1563941551,3,0
1563985205,2,0
1563997447,3,3
1564029143,1,0
1564072824,1,0
1564083612,2,1
1564114087,184,174
1564170004,2,2
1564203852,2,0
1564256646,0,1
1564291221,1,0
1564343286,3,1
1564422254,2,0
1564429684,1,3
1564465948,2,0
1564509616,4,0
1564515072,1,4
1564553310,4,0
1564596986,3,0
1564602483,6,4
1564640651,1,0
1564684349,1,0
1564688885,3,6
1564728007,3,0
1564771711,1,0
1564774813,5,3
1564815397,1,0
1564859314,5,0
1564861206,2,2
1564902988,3,0
1564946668,2,0
1564947607,1,3
1564990351,4,0
1565034010,7,2
1565077942,2,0
1565120644,2,4
1565121656,1,0
1565165307,1,0
1565207201,3,3
1565208974,2,0
1565252653,3,0
1565294889,4,1
1565296331,1,0
1565340015,1,0
1565379848,2,5
1565427386,3,0
1565466005,4,3
1565471062,2,0
1565493618,229,191
1565552404,2,4
1565558413,1,0
1565638592,4,3
1565645770,4,0
1565689469,3,0
1565725926,3,1
1565776822,2,0
1565811848,1,2
1565820494,3,0
1565864184,1,0
1565898248,1,2
1565908132,1,0
1565951770,3,0
1565984405,2,3
1566071285,4,3
1566126487,2,0
1566157204,3,3
1566170173,2,0
1566243850,2,2
1566257540,2,0
1566301212,3,0
1566330245,2,0
1566345141,2,0
1566389066,5,0
1566416406,1,2
1566433000,3,0
1566476664,4,0
1566502652,1,2
1566563971,1,0
1566589446,2,3
1566607961,5,0
1566651644,1,0
1566675847,3,1
1566695317,3,0
1566738991,1,0
1566739931,165,230
1566762251,1,1
1566782663,1,0
1566826357,1,0
1566848405,2,4
1566870009,1,0
1566913714,3,0
1566934805,3,2
1566957406,4,0
1567001327,1,0
1567021205,0,2
1567044990,1,0
1567088653,1,0
1567107610,3,4
1567132335,1,0
1567194246,4,1
1567219696,2,0
1567263372,1,0
1567280665,1,1
1567307563,2,0
1567351475,2,0
1567366805,2,3
1567438807,2,1
1567453449,2,1
1567482496,3,0
1567526189,1,0
1567539604,1,4
1567569879,3,0
1567613653,1,0
1567626487,5,4
1567657697,4,0
1567701367,3,0
1567712405,4,2
1567745050,4,0
1567788736,2,0
1567799046,1,1
1567876104,1,0
1567885204,2,4
1567919802,1,0
1567963452,6,0
1567971611,3,4
1568007160,6,0
1568051074,14,0
1568058249,3,2
