DateTime,AddedIPs,RemovedIPs
1575946810,18,18
1575948750,16,17
1575950918,16,11
1575952810,12,15
1575954755,10,12
1575956651,12,12
1575958823,21,32
1575960729,12,27
1575962672,23,26
1575964567,15,26
1575966741,16,26
1575968898,19,28
1575970811,13,26
1575972742,16,27
1575974651,12,27
1575976580,14,930
1575978856,31,20
1575980709,425,0
1575982691,17,22
1575984542,10,15
1575986543,20,18
1575988715,14,15
1575990609,14,33
1575992407,8,20
1575994477,8,25
1575996509,11,8
1575998411,14,20
1576000341,12,12
1576002249,12,17
1576004166,29,21
1576006088,12,15
1576008013,21,22
1576009948,14,15
1576011849,14,12
1576014013,20,18
1576016186,14,17
1576018103,15,13
1576020281,12,16
1576022178,9,17
1576024087,366,0
1576026023,20,20
1576028175,19,15
1576030345,18,19
1576032251,26,11
1576034199,24,30
1576036095,20,24
1576038020,17,17
1576039926,12,7
1576041862,18,16
1576043769,15,14
1576045943,17,19
1576047856,12,19
1576049782,12,13
1576051701,7,22
1576053626,5,11
1576055541,12,13
1576057469,8,14
1576059613,14,16
1576061526,7,17
1576063465,13,676
1576065367,29,27
1576067542,407,0
1576069716,12,16
1576071616,25,16
1576073539,14,24
1576075448,13,13
1576077394,16,19
1576079303,18,18
1576081209,22,16
1576083180,9,12
1576085055,17,14
1576086978,19,17
1576088890,8,21
1576090834,8,22
1576092738,14,23
1576094901,21,30
1576096810,13,11
1576098744,6,16
1576100648,6,16
1576102817,10,22
1576104725,15,12
1576106660,9,15
1576108572,12,22
1576110736,378,0
1576112906,18,16
1576114823,10,14
1576116744,15,22
1576118654,10,13
1576120584,6,18
1576122735,20,19
1576124666,8,13
1576126571,20,13
1576128739,31,15
1576130666,41,14
1576132583,41,27
1576134495,39,16
1576136411,30,30
1576138349,27,19
1576140249,24,8
1576142416,30,16
1576144326,11,17
1576146290,22,13
1576148171,20,16
1576150090,19,730
1576152022,384,0
1576153941,9,19
1576155858,14,14
1576157782,16,23
1576159699,12,16
1576161609,10,27
1576163547,12,20
1576165451,13,20
1576167370,15,26
1576169306,17,13
1576171206,10,20
1576173130,15,19
1576175066,12,17
1576176990,18,19
1576178886,11,10
1576180830,15,13
1576182729,20,7
1576184896,11,7
1576186811,8,12
1576188754,12,11
1576190648,13,11
1576192812,9,18
1576194730,7,16
1576196666,339,0
1576198567,19,14
1576200486,17,19
1576202423,23,13
1576204333,23,18
1576206498,24,22
1576208411,17,24
1576210359,13,21
1576212248,17,15
1576214430,23,22
1576216340,12,14
1576218263,19,16
1576220167,13,17
1576222102,14,10
1576224006,21,9
1576225953,26,7
1576228114,23,7
1576230011,24,12
1576232181,19,12
1576234375,18,11
1576236287,20,742
1576238170,39,27
1576240093,430,0
1576242031,30,15
1576243947,12,9
1576245871,18,11
1576247774,9,14
1576249939,30,4
1576251851,20,15
1576253788,10,16
1576255689,11,18
1576257606,11,12
1576259541,14,20
1576261447,18,18
1576263378,12,34
1576265284,7,30
1576267223,13,25
1576269151,9,27
1576271061,7,26
1576273212,12,18
1576275397,12,11
1576277543,9,26
1576279459,4,18
1576281369,7,26
1576283287,374,0
1576285224,14,11
1576287152,8,9
1576289055,13,10
1576290970,18,14
1576293157,11,3
1576295051,16,13
1576297222,12,15
1576299125,7,16
1576301052,5,9
1576302981,26,17
1576305166,26,24
1576307062,21,30
1576309227,29,33
1576311133,13,24
1576313054,18,20
1576314974,19,22
1576316907,17,11
1576318806,12,8
1576320731,19,24
1576322661,19,792
1576324568,34,28
1576326732,485,0
1576328898,21,20
1576330822,21,21
1576332743,11,15
1576334662,13,21
1576336573,21,32
1576338748,13,23
1576340646,7,13
1576342567,17,28
1576344484,18,14
1576346421,15,25
1576348365,16,17
1576350505,20,18
1576352421,19,24
1576354578,16,28
1576356735,16,29
1576358646,19,20
1576360586,16,25
1576362485,20,19
1576364419,10,30
1576366341,11,16
1576368277,439,0
1576370168,14,16
1576372362,15,13
1576374250,16,19
1576376187,37,16
1576378094,18,16
1576380022,21,29
1576381945,17,19
1576383855,15,12
1576385778,13,27
1576387690,18,14
1576389614,12,23
1576391550,10,16
1576393519,21,17
1576395382,15,21
1576397311,8,20
1576399227,13,27
1576401145,15,22
1576403053,11,21
1576404973,15,19
1576407149,18,24
1576409050,8,737
1576410967,17,32
1576412886,411,0
1576414821,17,13
1576416749,16,8
1576418654,10,10
1576420813,13,18
1576422736,14,18
1576424663,15,12
1576426574,13,14
1576428731,8,12
1576430648,9,8
1576432577,13,23
1576434494,13,23
1576436410,30,28
1576438336,12,25
1576440498,18,17
1576442410,11,28
1576444346,15,18
1576446249,26,17
1576448414,21,31
1576450351,13,18
1576452257,16,20
1576454169,24,32
1576456087,379,0
1576458022,20,11
1576459942,21,8
1576462109,28,9
1576464013,31,16
1576465934,23,14
1576467867,39,11
1576469778,26,13
1576471961,19,12
1576473860,8,7
1576475769,17,19
1576477935,17,23
1576480111,23,17
1576482023,28,40
1576484182,17,15
1576486334,19,26
1576488250,20,18
1576490178,23,18
1576492090,18,20
1576494028,16,750
1576495950,21,8
1576498121,327,0
1576500010,32,15
1576501934,22,14
1576503860,12,9
1576505782,13,16
1576507933,8,16
1576509876,12,11
1576511769,19,16
1576513686,42,13
1576515618,28,15
1576517560,21,18
1576519710,30,15
1576521610,14,11
1576523551,15,15
1576525450,11,19
1576527612,17,18
1576529543,9,10
1576531451,11,15
1576533387,8,14
1576535284,8,13
1576537209,11,13
1576539147,6,7
1576541061,298,0
1576542981,15,15
1576545166,11,15
1576547053,20,8
1576548993,27,13
1576550894,19,13
1576552818,25,14
1576554741,23,11
1576556660,24,13
1576558575,19,14
1576560491,14,17
1576562433,16,16
1576564334,11,8
1576566254,28,16
1576568183,15,19
1576570113,23,10
1576572023,10,15
1576574188,17,17
1576576107,15,9
1576578039,18,18
1576579940,15,11
1576581852,17,762
1576584040,434,0
1576585958,18,19
1576588107,18,15
1576590013,20,14
1576591950,11,19
1576593854,21,16
1576595776,21,17
1576597714,13,21
1576599617,21,16
1576601529,13,10
1576603460,28,9
1576605369,19,17
1576607286,24,14
1576609224,20,24
1576611133,23,25
1576613064,12,21
1576614968,25,18
1576617138,13,26
1576619051,14,24
1576620980,23,24
1576622888,14,21
1576624813,18,17
1576626729,31,14
1576628661,389,0
1576630567,20,14
1576632738,28,15
1576634654,25,13
1576636581,45,17
1576638756,28,15
1576640649,25,18
1576642822,35,20
1576644727,23,9
1576646662,14,8
1576648567,24,15
1576650746,34,15
1576652654,25,20
1576654585,29,30
1576656512,14,16
1576658427,22,17
1576660340,20,20
1576662251,24,24
1576664184,22,22
1576666089,22,20
1576668020,25,815
1576669930,22,21
1576671852,422,0
1576674034,17,11
1576675932,14,15
1576678101,19,15
1576680024,18,25
1576682180,16,25
1576684328,14,21
1576686267,10,21
1576688173,17,22
