DateTime,Entries,UniqueIPs
1575946810,1854,1854
1575948750,1853,1853
1575950918,1858,1858
1575952810,1855,1855
1575954755,1853,1853
1575956651,1853,1853
1575958823,1842,1842
1575960729,1827,1827
1575962672,1824,1824
1575964567,1813,1813
1575966741,1803,1803
1575968898,1794,1794
1575970811,1781,1781
1575972742,1770,1770
1575974651,1755,1755
1575976580,839,839
1575978856,850,850
1575980709,1275,1275
1575982691,1270,1270
1575984542,1265,1265
1575986543,1267,1267
1575988715,1266,1266
1575990609,1247,1247
1575992407,1235,1235
1575994477,1218,1218
1575996509,1221,1221
1575998411,1215,1215
1576000341,1215,1215
1576002249,1210,1210
1576004166,1218,1218
1576006088,1215,1215
1576008013,1214,1214
1576009948,1213,1213
1576011849,1215,1215
1576014013,1217,1217
1576016186,1214,1214
1576018103,1216,1216
1576020281,1212,1212
1576022178,1204,1204
1576024087,1570,1570
1576026023,1570,1570
1576028175,1574,1574
1576030345,1573,1573
1576032251,1588,1588
1576034199,1582,1582
1576036095,1578,1578
1576038020,1578,1578
1576039926,1583,1583
1576041862,1585,1585
1576043769,1586,1586
1576045943,1584,1584
1576047856,1577,1577
1576049782,1576,1576
1576051701,1561,1561
1576053626,1555,1555
1576055541,1554,1554
1576057469,1548,1548
1576059613,1546,1546
1576061526,1536,1536
1576063465,873,873
1576065367,875,875
1576067542,1282,1282
1576069716,1278,1278
1576071616,1287,1287
1576073539,1277,1277
1576075448,1277,1277
1576077394,1274,1274
1576079303,1274,1274
1576081209,1280,1280
1576083180,1277,1277
1576085055,1280,1280
1576086978,1282,1282
1576088890,1269,1269
1576090834,1255,1255
1576092738,1246,1246
1576094901,1237,1237
1576096810,1239,1239
1576098744,1229,1229
1576100648,1219,1219
1576102817,1207,1207
1576104725,1210,1210
1576106660,1204,1204
1576108572,1194,1194
1576110736,1572,1572
1576112906,1574,1574
1576114823,1570,1570
1576116744,1563,1563
1576118654,1560,1560
1576120584,1548,1548
1576122735,1549,1549
1576124666,1544,1544
1576126571,1551,1551
1576128739,1567,1567
1576130666,1594,1594
1576132583,1608,1608
1576134495,1631,1631
1576136411,1631,1631
1576138349,1639,1639
1576140249,1655,1655
1576142416,1669,1669
1576144326,1663,1663
1576146290,1672,1672
1576148171,1676,1676
1576150090,965,965
1576152022,1349,1349
1576153941,1339,1339
1576155858,1339,1339
1576157782,1332,1332
1576159699,1328,1328
1576161609,1311,1311
1576163547,1303,1303
1576165451,1296,1296
1576167370,1285,1285
1576169306,1289,1289
1576171206,1279,1279
1576173130,1275,1275
1576175066,1270,1270
1576176990,1269,1269
1576178886,1270,1270
1576180830,1272,1272
1576182729,1285,1285
1576184896,1289,1289
1576186811,1285,1285
1576188754,1286,1286
1576190648,1288,1288
1576192812,1279,1279
1576194730,1270,1270
1576196666,1609,1609
1576198567,1614,1614
1576200486,1612,1612
1576202423,1622,1622
1576204333,1627,1627
1576206498,1629,1629
1576208411,1622,1622
1576210359,1614,1614
1576212248,1616,1616
1576214430,1617,1617
1576216340,1615,1615
1576218263,1618,1618
1576220167,1614,1614
1576222102,1618,1618
1576224006,1630,1630
1576225953,1649,1649
1576228114,1665,1665
1576230011,1677,1677
1576232181,1684,1684
1576234375,1691,1691
1576236287,969,969
1576238170,981,981
1576240093,1411,1411
1576242031,1426,1426
1576243947,1429,1429
1576245871,1436,1436
1576247774,1431,1431
1576249939,1457,1457
1576251851,1462,1462
1576253788,1456,1456
1576255689,1449,1449
1576257606,1448,1448
1576259541,1442,1442
1576261447,1442,1442
1576263378,1420,1420
1576265284,1397,1397
1576267223,1385,1385
1576269151,1367,1367
1576271061,1348,1348
1576273212,1342,1342
1576275397,1343,1343
1576277543,1326,1326
1576279459,1312,1312
1576281369,1293,1293
1576283287,1667,1667
1576285224,1670,1670
1576287152,1669,1669
1576289055,1672,1672
1576290970,1676,1676
1576293157,1684,1684
1576295051,1687,1687
1576297222,1684,1684
1576299125,1675,1675
1576301052,1671,1671
1576302981,1680,1680
1576305166,1682,1682
1576307062,1673,1673
1576309227,1669,1669
1576311133,1658,1658
1576313054,1656,1656
1576314974,1653,1653
1576316907,1659,1659
1576318806,1663,1663
1576320731,1658,1658
1576322661,885,885
1576324568,891,891
1576326732,1376,1376
1576328898,1377,1377
1576330822,1377,1377
1576332743,1373,1373
1576334662,1365,1365
1576336573,1354,1354
1576338748,1344,1344
1576340646,1338,1338
1576342567,1327,1327
1576344484,1331,1331
1576346421,1321,1321
1576348365,1320,1320
1576350505,1322,1322
1576352421,1317,1317
1576354578,1305,1305
1576356735,1292,1292
1576358646,1291,1291
1576360586,1282,1282
1576362485,1283,1283
1576364419,1263,1263
1576366341,1258,1258
1576368277,1697,1697
1576370168,1695,1695
1576372362,1697,1697
1576374250,1694,1694
1576376187,1715,1715
1576378094,1717,1717
1576380022,1709,1709
1576381945,1707,1707
1576383855,1710,1710
1576385778,1696,1696
1576387690,1700,1700
1576389614,1689,1689
1576391550,1683,1683
1576393519,1687,1687
1576395382,1681,1681
1576397311,1669,1669
1576399227,1655,1655
1576401145,1648,1648
1576403053,1638,1638
1576404973,1634,1634
1576407149,1628,1628
1576409050,899,899
1576410967,884,884
1576412886,1295,1295
1576414821,1299,1299
1576416749,1307,1307
1576418654,1307,1307
1576420813,1302,1302
1576422736,1298,1298
1576424663,1301,1301
1576426574,1300,1300
1576428731,1296,1296
1576430648,1297,1297
1576432577,1287,1287
1576434494,1277,1277
1576436410,1279,1279
1576438336,1266,1266
1576440498,1267,1267
1576442410,1250,1250
1576444346,1247,1247
1576446249,1256,1256
1576448414,1246,1246
1576450351,1241,1241
1576452257,1237,1237
1576454169,1229,1229
1576456087,1608,1608
1576458022,1617,1617
1576459942,1630,1630
1576462109,1649,1649
1576464013,1664,1664
1576465934,1673,1673
1576467867,1701,1701
1576469778,1714,1714
1576471961,1721,1721
1576473860,1722,1722
1576475769,1720,1720
1576477935,1714,1714
1576480111,1720,1720
1576482023,1708,1708
1576484182,1710,1710
1576486334,1703,1703
1576488250,1705,1705
1576490178,1710,1710
1576492090,1708,1708
1576494028,974,974
1576495950,987,987
1576498121,1314,1314
1576500010,1331,1331
1576501934,1339,1339
1576503860,1342,1342
1576505782,1339,1339
1576507933,1331,1331
1576509876,1332,1332
1576511769,1335,1335
1576513686,1364,1364
1576515618,1377,1377
1576517560,1380,1380
1576519710,1395,1395
1576521610,1398,1398
1576523551,1398,1398
1576525450,1390,1390
1576527612,1389,1389
1576529543,1388,1388
1576531451,1384,1384
1576533387,1378,1378
1576535284,1373,1373
1576537209,1371,1371
1576539147,1370,1370
1576541061,1668,1668
1576542981,1668,1668
1576545166,1664,1664
1576547053,1676,1676
1576548993,1690,1690
1576550894,1696,1696
1576552818,1707,1707
1576554741,1719,1719
1576556660,1730,1730
1576558575,1735,1735
1576560491,1732,1732
1576562433,1732,1732
1576564334,1735,1735
1576566254,1747,1747
1576568183,1743,1743
1576570113,1756,1756
1576572023,1751,1751
1576574188,1751,1751
1576576107,1757,1757
1576578039,1757,1757
1576579940,1761,1761
1576581852,1016,1016
1576584040,1450,1450
1576585958,1449,1449
1576588107,1452,1452
1576590013,1458,1458
1576591950,1450,1450
1576593854,1455,1455
1576595776,1459,1459
1576597714,1451,1451
1576599617,1456,1456
1576601529,1459,1459
1576603460,1478,1478
1576605369,1480,1480
1576607286,1490,1490
1576609224,1486,1486
1576611133,1484,1484
1576613064,1475,1475
1576614968,1482,1482
1576617138,1469,1469
1576619051,1459,1459
1576620980,1458,1458
1576622888,1451,1451
1576624813,1452,1452
1576626729,1469,1469
1576628661,1858,1858
1576630567,1864,1864
1576632738,1877,1877
1576634654,1889,1889
1576636581,1917,1917
1576638756,1930,1930
1576640649,1937,1937
1576642822,1952,1952
1576644727,1966,1966
1576646662,1972,1972
1576648567,1981,1981
1576650746,2000,2000
1576652654,2005,2005
1576654585,2004,2004
1576656512,2002,2002
1576658427,2007,2007
1576660340,2007,2007
1576662251,2007,2007
1576664184,2007,2007
1576666089,2009,2009
1576668020,1219,1219
1576669930,1220,1220
1576671852,1642,1642
1576674034,1648,1648
1576675932,1647,1647
1576678101,1651,1651
1576680024,1644,1644
1576682180,1635,1635
1576684328,1628,1628
1576686267,1617,1617
1576688173,1612,1612
1576690108,1606,1606
1576692012,1598,1598
1576693951,1605,1605
1576696108,1599,1599
1576698008,1600,1600
1576700193,1585,1585
1576702094,1589,1589
1576704023,1579,1579
1576705932,1575,1575
1576707863,1580,1580
1576709767,1569,1569
1576711945,1562,1562
1576714122,1955,1955
1576716011,1961,1961
1576717949,1965,1965
1576719848,1977,1977
1576722014,1976,1976
1576723929,1982,1982
1576725866,1986,1986
1576727768,1981,1981
1576729689,1983,1983
1576731628,1992,1992
1576733541,1993,1993
1576735469,1996,1996
1576737371,1999,1999
1576739537,1983,1983
1576741450,1984,1984
1576743639,1978,1978
1576745529,1988,1988
1576747450,1982,1982
1576749417,1976,1976
1576751287,1977,1977
1576753216,1014,1014
1576755150,1019,1019
1576757053,1553,1553
1576758980,1541,1541
1576760895,1541,1541
1576762829,1535,1535
1576764986,1536,1536
1576767127,1534,1534
1576769061,1527,1527
1576770967,1532,1532
1576772898,1532,1532
1576774859,1534,1534
1576776747,1527,1527
1576778906,1522,1522
1576780825,1508,1508
1576782743,1499,1499
1576784665,1492,1492
1576786813,1488,1488
1576788725,1482,1482
1576790650,1472,1472
1576792568,1469,1469
1576794774,1456,1456
1576796662,1459,1459
1576798584,1466,1466
1576800491,1942,1942
1576802413,1943,1943
1576804343,1944,1944
1576806258,1942,1942
1576808176,1944,1944
1576810332,1950,1950
1576812248,1944,1944
