DateTime,AddedIPs,RemovedIPs
1569576253,8,2
1569591147,10,0
1569606011,6,1
1569620651,6,1
1569635311,10,2
1569649941,6,1
1569664569,10,2
1569679223,15,0
1569693853,11,1
1569708498,10,0
1569723130,10,2
1569737794,3,5
1569752407,2,3
1569767062,30,2
1569781943,4,4
1569796582,10,1
1569811208,4,4
1569825848,10,0
1569840495,11,2
1569855372,6,5
1569870012,7,3
1569884900,12,1
1569899554,12,1
1569914174,6,5
1569928813,8,1
1569943460,2,1
1569958331,6,1
1569972985,8,3
1569987609,6,1
1570002256,13,0
1570016900,7,1
1570031538,5,2
1570046178,11,4
1570060822,10,4
1570075453,8,2
1570089992,13,2
1570104738,2,2
1570119369,12,0
1570134007,11,1
1570148582,4,2
1570163534,8,1
1570178178,5,3
1570192812,8,3
1570207461,8,0
1570222091,7,1
1570236730,6,2
1570251624,4,0
1570266502,4,0
1570281130,7,3
1570296018,9,2
1570310660,5,1
1570325285,2,0
1570340180,7,3
1570354807,10,0
1570369459,8,1
1570384368,11,0
1570398926,5,0
1570413618,5,2
1570428502,10,6
1570443146,5,0
1570457777,4,1
1570472411,8,4
1570487048,11,0
1570501693,11,1
1570516344,9,3
1570530988,6,3
1570545605,4,5
1570560280,4,5
1570574886,8,0
1570590001,11,0
1570604666,13,0
1570619541,6,0
1570634175,7,3
1570648828,7,1
1570663451,2,2
1570678089,5,1
1570692745,8,4
1570707626,12,3
1570722494,8,0
1570737143,4,1
1570751766,9,0
1570766415,4,0
1570781294,2,1
1570795942,11,1
1570810825,3,1
1570825450,7,0
1570840330,4,1
1570854977,5,0
1570869619,10,8
1570884248,3,0
1570899135,6,0
1570913830,8,3
1570928412,10,0
1570943303,9,1
1570958174,3,1
1570972828,9,1
1570987451,10,5
1571002095,8,1
1571016744,9,1
1571031384,5,3
1571046255,4,3
1571060892,12,2
1571075541,12,1
1571090201,13,0
1571104820,11,0
1571119698,17,0
1571134343,14,2
1571148976,7,0
1571163885,16,0
1571178731,11,3
1571193368,4,1
1571208009,8,2
1571222654,14,0
1571237291,11,1
1571251926,14,1
1571266581,17,1
1571281210,17,1
1571296112,10,5
1571310729,6,0
1571325623,6,2
1571340266,11,2
1571354890,9,5
1571369541,6,6
1571384168,14,3
1571398809,10,1
1571413466,6,2
1571428102,10,3
1571442732,12,4
1571457378,14,0
1571472256,15,1
1571486885,15,3
1571501774,7,0
1571516664,12,3
1571531300,11,0
1571545944,7,2
1571560811,12,1
1571575460,9,1
1571590351,8,2
1571605224,14,1
1571620116,8,2
1571634731,9,1
1571649367,7,3
1571664017,12,1
1571678649,28,1
1571693292,15,1
1571707944,16,0
1571722569,12,1
1571737232,17,1
1571751863,18,1
1571766492,11,1
1571781128,12,0
1571796023,11,1
1571810652,5,2
1571825304,14,0
1571839928,12,1
1571854813,12,0
1571869461,4,0
1571884087,15,1
1571898742,12,0
1571913629,14,1
1571928495,5,1
1571943140,6,0
1571957779,7,1
1571972417,10,1
1571987302,6,0
1572001951,8,0
1572016836,8,0
1572031468,9,0
1572046089,12,0
1572060748,12,4
1572075377,4,1
1572090026,8,1
1572104930,10,0
1572119777,14,0
1572134418,13,0
1572149297,15,0
1572163942,13,4
1572178593,8,4
1572193456,16,4
1572208115,9,2
1572222737,9,0
1572237624,13,2
1572252500,15,0
1572267134,10,0
1572281787,12,1
1572296426,7,2
1572311307,16,3
1572325928,4,3
1572340603,15,3
1572355452,8,0
1572370336,9,0
1572384968,6,1
1572399609,8,0
1572414251,7,2
1572429146,9,0
1572443784,5,1
1572458431,8,0
1572473064,5,0
1572487711,9,0
1572502331,13,1
1572517226,8,1
1572531861,9,0
1572546504,10,3
1572561143,17,2
1572575766,9,2
1572590424,17,1
1572605057,9,0
1572619688,8,3
1572634348,4,1
1572648969,7,4
1572663635,5,2
1572678270,7,0
1572692900,7,0
1572707541,10,4
1572722172,9,0
1572736813,9,0
1572751461,5,1
1572766335,8,0
1572780972,0,50956
1572795627,50981,3
1572810249,6,2
1572825139,12,0
1572839780,17,0
1572854451,16,2
1572869066,9,0
1572883701,6,3
1572898329,11,2
1572913215,13,2
1572927867,14,0
1572942747,10,0
1572957383,5,0
1572972014,6,0
1572986672,8,2
1573001315,12,0
1573015959,11,1
1573030824,15,0
1573045718,10,1
1573060332,8,0
1573075216,10,0
1573089861,5,1
1573104732,8,1
1573119373,8,3
1573134257,15,0
1573149130,12,5
1573163784,22,0
1573178418,8,0
1573193312,9,1
1573208176,13,1
1573222808,20,2
1573237453,12,2
1573252334,11,2
1573266970,13,0
1573281609,9,6
1573296255,11,0
1573310889,9,2
1573325536,8,0
1573340437,23,1
1573355052,11,0
1573369701,18,0
1573384352,8,5
1573398977,8,3
1573413627,13,0
1573428261,8,1
1573442909,7,1
1573457546,4,2
1573472415,16,0
1573487050,15,0
1573501687,15,1
1573516345,21,0
1573530970,11,0
1573545631,14,0
1573560495,16,0
1573575128,15,1
1573589790,9,1
1573604406,9,2
1573619062,16,0
1573633707,7,0
1573648329,14,2
1573662969,8,0
1573677606,6,1
1573692270,9,1
1573706905,8,0
1573721540,4,2
1573736169,8,0
1573750821,6,2
1573765463,6,0
1573780102,11,0
1573794739,6,0
1573809378,11,1
1573824019,6,1
1573838650,6,0
1573853300,5,1
1573867932,6,0
1573882581,13,0
1573897452,7,0
1573912355,12,0
1573926980,5,1
1573941616,10,2
1573956748,9,1
1573971372,6,1
1573986011,6,1
1574000891,9,0
1574015548,3,1
1574030169,3,2
1574044809,1,1
1574059449,1,3
1574074097,3,5
1574088971,3,0
1574103622,7,0
1574118251,4,0
1574132894,7,0
1574147540,5,1
1574162180,6,0
1574177068,8,1
1574191711,6,0
1574206334,7,0
1574220978,6,0
1574235622,10,2
1574250261,7,1
1574264893,6,1
1574279804,8,0
1574294427,3,0
1574309295,15,2
1574323942,8,0
1574338836,15,3
1574353467,8,0
1574368351,12,0
1574382976,18,0
1574397605,8,4
1574412247,3,0
1574426893,5,2
1574441565,6,1
1574456168,3,2
1574470842,7,1
1574485452,3,0
1574500115,7,0
1574514973,4,1
1574529623,3,1
1574544250,16,0
1574573547,5,0
1574588180,6,0
1574602806,8,1
1574617462,6,1
1574632374,2,0
1574646982,16,0
1574661855,7,0
1574676514,6,1
1574691142,12,1
1574705771,5,1
1574720417,10,2
1574735066,7,1
1574749934,5,1
1574764571,7,1
1574779210,5,0
1574793863,5,2
1574808489,3,4
1574823130,10,1
1574837783,7,2
1574852413,3,4
1574867310,7,3
1574881949,4,0
1574896808,11,1
1574911469,4,2
1574926351,7,0
1574940979,19,2
1574955609,7,0
1574970251,19,1
1574984892,6,1
1574999532,16,1
1575014425,15,0
1575029295,4,0
1575043947,11,2
1575058578,11,3
1575073223,10,0
1575087862,4,0
1575102734,8,3
1575117380,12,0
1575132006,7,0
1575146663,9,0
1575161290,10,0
1575175956,8,0
1575190569,16,1
1575205225,13,1
1575220107,13,0
1575234727,22,1
1575249368,21,0
1575264015,20,0
1575278667,10,1
1575293551,20,2
1575308424,21,0
1575323061,25,3
1575337948,10,0
1575352571,12,0
1575367228,10,0
1575382093,19,1
1575396975,15,1
1575411611,24,0
1575426247,18,6
1575440903,15,1
1575455530,13,6
1575470185,25,2
1575484826,19,1
1575499447,23,4
1575514105,19,0
1575528731,17,0
1575543368,11,1
1575558262,16,2
1575572893,10,9
1575587542,17,2
1575602180,17,3
1575616819,13,1
1575631467,23,4
1575646102,15,0
1575660755,17,2
1575675616,12,0
1575690251,6,1
1575704885,13,0
1575719528,22,2
1575734178,14,2
1575748812,8,0
1575763706,18,0
1575778335,37,0
1575793218,22,0
1575807847,18,2
1575822488,28,1
1575837142,26,1
1575851783,33,1
1575866406,21,1
1575881049,23,0
1575895941,21,1
1575910816,20,0
1575925694,18,2
1575940575,20,2
1575955206,16,0
1575969860,11,1
1575984541,10,1
1575999133,30,1
1576014008,17,1
1576028648,15,1
1576043301,15,0
1576057933,16,0
1576072589,18,1
1576087209,19,0
1576101849,16,0
1576116736,20,0
1576131618,13,0
1576146289,17,0
1576160888,22,1
1576175536,20,0
1576190182,14,3
1576204807,18,0
1576219450,26,0
1576234371,12,1
1576248970,18,0
1576263612,19,0
1576278275,15,0
1576293146,19,0
1576307765,14,0
1576322411,15,0
1576337050,16,0
1576351698,17,1
1576366334,27,1
1576380971,17,1
1576395607,19,0
1576410257,35,0
1576425127,17,2
1576439765,21,1
1576454514,17,1
1576469046,16,2
1576483703,15,2
1576498325,17,1
1576513222,19,0
1576527861,11,2
1576542487,20,1
1576557130,20,1
1576571765,22,1
1576586408,12,1
1576601050,23,0
1576615688,21,0
1576630327,17,0
1576644976,19,2
1576659608,15,0
1576674753,16,0
1576689384,13,1
1576704022,12,1
1576718659,9,3
1576733538,17,3
1576748170,9,2
1576762824,13,0
1576777463,15,1
1576792088,14,1
1576806742,17,1
1576821365,15,4
1576836020,9,1
1576850660,13,3
1576865312,18,2
1576880171,18,0
1576894804,10,2
1576909462,3,0
1576924085,12,2
