DateTime,AddedIPs,RemovedIPs
1576240209,597,522
1576242011,578,627
1576243810,507,577
1576245610,612,294
1576246510,307,161
1576247410,355,317
1576249210,500,368
1576250112,254,322
1576251010,251,192
1576252810,533,510
1576253710,226,349
1576254610,229,519
1576256410,397,636
1576257311,147,394
1576258212,151,311
1576260012,309,543
1576260911,110,302
1576261811,129,267
1576263612,346,481
1576265412,287,404
1576267212,336,307
1576268113,146,190
1576269013,173,175
1576270812,432,293
1576271711,167,215
1576272612,191,152
1576274413,354,326
1576275314,188,210
1576276212,140,144
1576278012,307,337
1576279812,355,344
1576281613,302,177
1576283412,324,182
1576285212,634,241
1576286112,261,71
1576287012,284,133
1576288812,429,198
1576290611,366,195
1576292411,350,126
1576294211,319,212
1576296011,206,183
1576297811,239,336
1576299612,273,432
1576300511,132,314
1576301412,120,233
1576303211,392,523
1576305010,458,399
1576306811,427,340
1576307711,142,239
1576308610,153,144
1576310410,350,310
1576311310,126,93
1576312211,117,117
1576314011,435,231
1576314910,162,113
1576315810,176,121
1576317609,341,221
1576318509,162,81
1576319409,185,232
1576321210,385,433
1576323010,365,424
1576324808,256,251
1576326608,402,462
1576328407,229,166
1576330209,322,224
1576332008,282,344
1576333809,687,313
1576335609,482,328
1576336508,153,200
1576337408,158,182
1576339208,817,399
1576340109,413,232
1576341009,311,164
1576342808,356,334
1576343708,115,105
1576344610,338,1791
1576346408,1639,0
1576347307,118,167
1576349108,414,370
1576350009,351,293
1576350908,330,450
1576351808,281,226
1576353607,344,369
1576354508,149,92
1576355409,148,145
1576357210,429,772
1576358109,183,410
1576359008,188,345
1576360808,362,382
1576361708,158,195
1576362608,161,382
1576364409,406,306
1576365309,557,304
1576366208,437,396
1576368007,918,724
1576369808,453,434
1576371608,327,376
1576373410,320,551
1576375208,336,442
1576376107,293,177
1576377008,262,137
1576378808,430,745
1576379709,159,405
1576380610,203,511
1576382410,460,697
1576383309,230,231
1576384209,203,228
1576386008,212,289
1576386910,111,190
1576387807,108,173
1576389609,235,437
1576390510,111,260
1576391409,107,263
1576393210,249,349
1576394110,89,219
1576395010,108,275
1576396809,209,426
1576397710,183,204
1576398610,166,116
1576400409,309,239
1576401310,168,105
1576402209,198,126
1576404010,370,195
1576404910,207,155
1576405810,225,109
1576407611,387,221
1576408508,385,131
1576409409,408,145
1576411211,691,398
1576412110,370,188
1576413010,298,164
1576414810,757,495
1576415710,266,222
1576416610,261,279
1576418411,617,386
1576419312,239,340
1576420210,237,391
1576422010,706,673
1576422912,270,407
1576423810,274,355
1576425610,402,670
1576426511,157,157
1576427409,174,207
1576429210,395,547
1576430112,117,294
1576431011,170,217
1576432810,416,505
1576433711,207,345
1576434611,207,212
1576436410,413,456
1576438212,339,433
1576440011,381,428
1576440911,168,140
1576441811,832,255
1576443610,896,478
1576445410,358,471
1576447211,484,477
1576449011,395,515
1576450813,350,767
1576452611,410,1286
1576454412,404,373
1576455310,141,161
1576456212,207,124
1576458012,295,301
1576458912,139,150
1576459812,137,122
1576461610,288,155
1576462510,159,42
1576463410,167,96
1576465211,423,292
1576466112,193,133
1576467012,178,83
1576468810,295,308
1576469710,183,134
1576470609,147,243
1576472411,246,464
1576474211,286,448
1576476010,194,499
1576477810,199,673
1576479610,213,405
1576480513,112,173
1576481412,87,94
1576483211,324,204
1576484110,155,174
1576485012,135,60
1576486811,340,109
1576487710,184,50
1576488614,170,57
1576490410,401,166
1576491311,187,55
1576493111,378,191
1576494011,154,108
1576495811,387,188
1576497610,375,340
1576498508,200,130
1576499409,199,171
1576501209,363,406
1576503009,373,470
1576504809,362,335
1576505710,180,237
1576506609,203,127
1576508410,358,251
1576509310,201,117
1576510210,241,74
1576512009,408,238
1576513810,445,229
1576515611,495,253
1576517410,460,255
1576519210,437,154
1576520109,235,52
1576521009,164,99
1576522808,329,150
1576524608,326,180
1576526408,355,244
1576528209,397,166
1576530007,469,200
1576530909,194,156
1576531808,252,151
1576533608,527,470
1576534508,190,284
1576535408,236,310
1576537208,579,541
1576538108,754,364
1576539007,556,303
1576540808,826,530
1576541706,231,341
1576542607,260,176
1576544408,425,371
1576546207,374,343
1576548006,364,537
1576548908,113,188
1576549807,128,260
1576551607,333,440
1576552507,145,274
1576553406,181,228
1576555207,386,397
1576557008,342,316
1576558807,498,814
1576560607,298,681
1576562407,311,731
1576564207,286,536
1576566007,301,303
1576566907,121,191
1576567806,111,153
1576569607,446,307
1576570507,195,98
1576571407,219,140
1576573206,402,206
1576574109,143,128
1576575006,120,50
1576576806,405,184
1576578607,433,214
1576580405,354,302
1576581305,251,104
1576582205,413,155
1576584007,966,326
1576584905,334,84
1576586705,663,257
1576587605,362,159
1576588505,298,225
1576590305,408,321
1576591205,281,145
1576593005,443,215
1576594805,415,236
1576595705,212,183
1576596605,270,264
1576598405,668,246
1576600204,508,403
1576602005,424,529
1576603805,408,293
1576605604,485,414
1576607405,393,299
1576609204,376,408
1576611005,554,298
1576612805,414,332
1576613705,212,326
1576614605,151,218
1576616405,343,725
1576617305,255,429
1576618205,167,259
1576620005,366,296
1576620904,240,197
1576622704,423,377
1576623604,217,180
1576625405,393,286
1576627205,417,384
1576629003,303,199
1576630804,415,262
1576631704,203,123
1576632605,230,152
1576634405,344,298
1576636205,299,389
1576638004,457,343
1576639804,335,225
1576641604,404,238
1576643405,400,385
1576645204,382,238
1576647003,476,169
1576648804,265,380
1576649704,152,202
1576650604,91,185
1576652404,306,268
1576653304,144,150
1576654203,214,215
1576656003,357,460
1576656904,148,140
1576657804,141,175
1576659604,317,264
1576660504,208,129
1576661403,179,248
1576663204,307,656
1576664104,170,388
1576665904,386,496
1576666804,258,362
1576667704,206,305
1576668604,214,7044
1576670405,6037,0
1576671304,237,309
1576672204,231,3169
1576674004,2370,4
1576675805,617,817
1576677604,369,647
1576678505,182,281
1576679405,143,1788
1576681205,1375,4
1576682104,193,316
1576683904,341,687
1576684805,150,226
1576686605,422,452
1576688404,407,427
1576689305,255,133
1576690205,166,135
1576692004,390,428
1576693805,447,524
1576695605,505,224
1576697405,493,249
1576699205,549,451
1576700105,119,207
1576701005,148,378
1576702806,374,1102
1576703707,159,294
1576705506,399,351
1576706406,193,105
1576707307,127,157
1576708207,469,159
1576710007,1205,474
1576711807,658,432
1576713607,489,409
1576715406,368,476
1576717206,480,399
1576719007,421,736
1576720807,452,941
1576722606,428,155
1576724408,306,422
1576725308,178,227
1576726208,169,275
1576728008,325,674
1576729808,409,1234
1576731607,473,816
1576733408,373,461
1576735207,419,604
1576736107,203,299
1576737008,225,214
1576738808,341,281
1576739708,214,63
1576741508,323,195
1576742408,173,46
1576744208,414,221
1576746007,322,202
1576746907,215,88
1576748707,406,255
1576749607,151,124
1576751407,334,250
1576753207,771,391
1576755007,839,495
1576756807,637,330
1576757708,250,144
1576758608,248,156
1576760408,574,380
1576761309,209,136
1576762209,236,216
1576764008,406,306
1576764908,154,153
1576766708,374,182
1576767607,147,83
1576768507,237,85
1576769407,158,102
1576771205,240,239
1576772105,196,228
1576773006,116,187
1576774805,378,273
1576775705,105,144
1576777505,473,264
1576778404,159,146
1576779305,102,155
1576780205,161,187
1576782005,329,246
1576783805,233,309
1576785605,1137,497
1576787405,404,515
1576789205,405,418
1576790105,133,197
1576791005,272,379
1576792805,306,440
1576793706,414,285
1576795505,505,501
1576796405,228,249
1576798204,446,408
1576800005,387,451
1576800905,141,241
1576801804,228,298
1576803606,412,368
1576805404,489,510
1576807205,376,740
1576808105,281,507
1576809905,498,594
1576810805,213,232
1576811705,189,625
1576813504,384,682
1576815305,497,484
1576817105,355,637
1576818005,238,294
1576819806,434,452
1576821605,380,501
1576822506,316,269
1576824307,382,557
1576825207,292,306
1576827006,373,583
1576828807,300,533
1576830607,474,572
1576832407,365,435
1576834207,437,375
1576836007,397,571
1576837806,419,325
1576839608,470,438
1576840508,862,349
1576841408,658,184
1576843208,992,601
1576844107,407,146
1576845007,381,214
1576846808,576,429
1576847708,199,71
1576848607,210,134
1576850408,506,248
1576851308,277,171
1576852207,335,199
1576854008,499,280
1576854909,293,131
1576856709,572,355
1576857606,230,203
1576858507,260,144
1576860306,370,211
1576861207,159,203
1576862106,213,186
1576863906,396,352
1576864807,244,570
1576865707,277,534
1576866606,242,472
1576868407,413,775
1576870206,476,532
1576872006,339,538
1576872907,253,299
1576873807,225,244
1576875606,413,620
1576876506,166,376
1576878307,665,771
1576879208,307,213
1576880106,124,245
1576881906,684,848
1576882806,345,433
1576884606,835,2366
1576886408,1120,1386
1576888207,851,393
1576890007,894,1131
1576891807,604,825
1576893607,585,262
1576894508,265,79
1576895408,304,45
1576897208,437,219
1576898109,417,156
1576899008,335,134
1576900808,619,402
1576902608,494,377
1576904409,372,586
1576906209,688,866
1576908008,499,756
1576909808,878,635
1576911608,462,381
1576912509,265,282
1576914309,550,864
1576915208,248,477
1576916108,331,324
1576917008,219,305
1576918808,385,1288
1576919709,223,618
1576920608,263,252
1576922408,335,619
1576923308,149,370
1576925107,240,603
1576926908,370,530
