DateTime,Entries,UniqueIPs
1576240209,2923,2923
1576242011,2874,2874
1576243810,2804,2804
1576245610,3122,3122
1576246510,3268,3268
1576247410,3306,3306
1576249210,3438,3438
1576250112,3370,3370
1576251010,3429,3429
1576252810,3452,3452
1576253710,3329,3329
1576254610,3039,3039
1576256410,2800,2800
1576257311,2553,2553
1576258212,2393,2393
1576260012,2159,2159
1576260911,1967,1967
1576261811,1829,1829
1576263612,1694,1694
1576265412,1577,1577
1576267212,1606,1606
1576268113,1562,1562
1576269013,1560,1560
1576270812,1699,1699
1576271711,1651,1651
1576272612,1690,1690
1576274413,1718,1718
1576275314,1696,1696
1576276212,1692,1692
1576278012,1662,1662
1576279812,1673,1673
1576281613,1798,1798
1576283412,1940,1940
1576285212,2333,2333
1576286112,2523,2523
1576287012,2674,2674
1576288812,2905,2905
1576290611,3076,3076
1576292411,3300,3300
1576294211,3407,3407
1576296011,3430,3430
1576297811,3333,3333
1576299612,3174,3174
1576300511,2992,2992
1576301412,2879,2879
1576303211,2748,2748
1576305010,2807,2807
1576306811,2894,2894
1576307711,2797,2797
1576308610,2806,2806
1576310410,2846,2846
1576311310,2879,2879
1576312211,2879,2879
1576314011,3083,3083
1576314910,3132,3132
1576315810,3187,3187
1576317609,3307,3307
1576318509,3388,3388
1576319409,3341,3341
1576321210,3293,3293
1576323010,3234,3234
1576324808,3239,3239
1576326608,3179,3179
1576328407,3242,3242
1576330209,3340,3340
1576332008,3278,3278
1576333809,3652,3652
1576335609,3806,3806
1576336508,3759,3759
1576337408,3735,3735
1576339208,4153,4153
1576340109,4334,4334
1576341009,4481,4481
1576342808,4503,4503
1576343708,4513,4513
1576344610,3060,3060
1576346408,4699,4699
1576347307,4650,4650
1576349108,4694,4694
1576350009,4752,4752
1576350908,4632,4632
1576351808,4687,4687
1576353607,4662,4662
1576354508,4719,4719
1576355409,4722,4722
1576357210,4379,4379
1576358109,4152,4152
1576359008,3995,3995
1576360808,3975,3975
1576361708,3938,3938
1576362608,3717,3717
1576364409,3817,3817
1576365309,4070,4070
1576366208,4111,4111
1576368007,4305,4305
1576369808,4324,4324
1576371608,4275,4275
1576373410,4044,4044
1576375208,3938,3938
1576376107,4054,4054
1576377008,4179,4179
1576378808,3864,3864
1576379709,3618,3618
1576380610,3310,3310
1576382410,3073,3073
1576383309,3072,3072
1576384209,3047,3047
1576386008,2970,2970
1576386910,2891,2891
1576387807,2826,2826
1576389609,2624,2624
1576390510,2475,2475
1576391409,2319,2319
1576393210,2219,2219
1576394110,2089,2089
1576395010,1922,1922
1576396809,1705,1705
1576397710,1684,1684
1576398610,1734,1734
1576400409,1804,1804
1576401310,1867,1867
1576402209,1939,1939
1576404010,2114,2114
1576404910,2166,2166
