DateTime,Entries,UniqueIPs
1571061624,3697,3752
1571076023,3718,3774
1571089823,3769,3829
1571104222,3694,3741
1571111421,3661,3716
1571120421,3605,3661
1571128224,3514,3562
1571136624,3333,3378
1571145023,3323,3365
1571152225,3446,3490
1571160023,3510,3550
1571169023,3630,3673
1571176822,3587,3634
1571184022,3562,3611
1571191820,3611,3663
1571200221,3598,3655
1571208621,3554,3613
1571217025,3477,3534
1571231424,3443,3497
1571238623,3459,3513
1571246424,3462,3519
1571260223,3456,3512
1571270422,3537,3594
1571281822,3538,3592
1571289622,3331,3379
1571304024,3416,3464
1571312423,3201,3247
1571320823,3293,3339
1571328623,3252,3296
1571338823,3136,3179
1571346023,3153,3198
1571359821,3293,3343
1571371222,3247,3298
1571384424,3158,3206
1571398224,3218,3263
1571409627,3196,3238
1571421623,2970,3015
1571433022,3067,3114
1571437822,2853,2893
1571451022,3192,3235
1571475625,3064,3105
1571483423,3065,3107
1571493023,3122,3165
1571507424,3117,3162
1571520623,3107,3153
1571533223,2979,3025
1571544625,2920,2966
1571556625,3043,3089
1571570425,3004,3052
1571584224,2882,2922
1571596223,2836,2874
1571607024,2765,2807
1571617853,2954,2997
1571630422,3107,3151
1571644224,3174,3222
1571652624,3007,3054
1571665223,3183,3233
1571675424,3160,3209
1571688624,3178,3234
1571702430,3202,3260
1571713822,3304,3359
1571721621,3272,3333
1571729426,3250,3307
1571742625,3385,3450
1571754624,3232,3287
1571767824,3231,3275
1571781624,3252,3302
1571794822,3224,3274
1571803222,3328,3384
1571810422,3326,3382
1571818824,3283,3341
1571833224,3240,3299
1571841623,3201,3259
1571856023,3193,3259
1571870423,3160,3230
1571884822,3160,3226
1571892022,3263,3334
1571899821,3247,3321
1571914224,3243,3321
1571928624,3244,3320
1571943023,3109,3183
1571950824,2977,3044
1571962222,3141,3209
1571970622,3095,3162
1571977221,3185,3252
1571985622,3281,3346
1571998825,3337,3402
1572006624,3290,3354
1572020424,3266,3328
1572027624,3260,3323
1572035423,3327,3390
1572049223,3339,3400
1572063622,3241,3298
1572078025,3137,3187
1572085225,3173,3230
1572093024,3277,3334
1572100825,3226,3274
1572108023,3210,3260
1572122423,3205,3255
1572130224,2862,2906
1572143422,3019,3066
1572157822,2940,2988
1572165624,2955,3002
1572173424,2980,3027
1572180624,2971,3023
1572195023,3020,3076
1572206422,2939,2994
1572220222,2894,2944
1572231621,2813,2861
1572243021,2774,2818
1572255623,2899,2943
1572270024,2777,2820
1572282024,2814,2854
1572301222,2976,3022
1572312623,2990,3038
1572326422,2939,2990
1572333024,2821,2871
1572342625,2714,2759
1572351024,2694,2739
1572363623,2854,2905
1572378026,2959,3013
1572391222,3030,3090
1572404421,2990,3046
1572415821,2931,2985
1572423024,2800,2854
1572437423,2804,2855
1572450023,2574,2613
1572457822,2634,2679
1572471022,2839,2888
1572481822,2918,2968
1572487822,2858,2908
1572496821,2907,2957
1572511224,2896,2945
1572524424,2712,2760
1572538823,2748,2788
1572550223,2851,2895
1572562223,2943,2992
1572576022,3133,3183
1572589221,2992,3044
1572603624,2905,2955
1572615623,2859,2915
1572622825,2722,2777
1572637223,2888,2944
1572651023,2887,2935
1572664822,2942,2994
1572678625,2928,2976
1572686424,2867,2908
1572700223,2960,3005
1572708024,2954,3005
1572722423,2911,2959
1572734423,2880,2930
1572747022,2937,2985
1572757821,2986,3040
1572770424,3084,3140
1572779423,3017,3071
1572793223,3015,3071
1572807022,2993,3051
1572821422,3039,3096
1572832821,3003,3056
1572846620,3153,3209
1572853221,3045,3100
1572862224,3132,3190
1572869424,3091,3149
1572883824,3047,3096
1572894623,3006,3051
1572907223,2940,2982
1572914421,3050,3095
1572922222,3033,3075
1572936022,3133,3173
1572944423,3123,3159
1572958223,3144,3181
1572972023,2980,3014
1572979223,2940,2978
1572993623,3087,3130
1573004421,2926,2965
1573017621,2952,2992
1573031424,3012,3055
1573039223,2847,2889
1573053623,2945,2989
1573068023,2983,3031
1573080022,2763,2809
1573092622,2920,2969
1573106421,2754,2792
1573119024,2831,2872
1573126227,2769,2811
1573140024,2703,2743
1573152023,2639,2681
1573164023,2767,2811
1573188022,2496,2535
1573202423,2503,2532
1573216823,2571,2604
1573229422,2427,2461
1573240822,2336,2366
1573252223,2080,2105
1573261821,2166,2193
1573273221,2304,2332
1573284021,2217,2245
1573298423,2258,2286
1573309822,2273,2298
1573320622,2274,2299
1573330822,2250,2277
1573341027,2271,2299
1573352425,2304,2339
1573365021,2394,2434
1573375829,2475,2514
1573387224,2523,2570
1573398623,2518,2566
1573410622,2533,2581
1573420822,2566,2614
1573431621,2612,2660
1573443021,2636,2682
1573455621,2678,2724
1573468223,2724,2769
1573479623,2699,2744
1573490422,2658,2704
1573503022,2702,2746
1573515622,2745,2792
1573524622,2798,2845
1573536021,2810,2857
1573546824,2797,2846
1573558823,2773,2824
1573572023,2716,2766
1573584622,2657,2705
1573596022,2631,2680
1573606221,2639,2690
1573611622,2611,2663
1573623021,2545,2598
1573633223,2431,2477
1573644624,2548,2597
