DateTime,Entries,UniqueIPs
1574597431,3075,3126
1574603427,3075,3126
1574609426,3074,3125
1574613626,3076,3127
1574619026,3077,3128
1574623826,3083,3135
1574628026,3083,3135
1574631625,3086,3138
1574637026,3085,3137
1574640625,3089,3141
1574644226,3087,3139
1574647825,3090,3142
1574653826,3085,3137
1574658627,3084,3136
1574664026,3085,3137
1574670026,3083,3135
1574675426,3087,3139
1574679628,3086,3138
1574683826,3087,3139
1574689226,3092,3144
1574693426,3095,3147
1574698827,3094,3146
1574703027,3097,3150
1574707226,3094,3147
1574712627,3098,3151
1574718627,3095,3147
1574723427,3095,3147
1574728227,3093,3145
1574732426,3098,3150
1574737826,3098,3150
1574741425,3102,3154
1574745626,3099,3150
1574750429,3095,3147
1574757027,3101,3153
1574766627,3095,3145
1574772627,3093,3143
1574778027,3099,3149
1574784028,3100,3150
1574788828,3103,3153
1574793627,3103,3153
1574800227,3100,3150
1574805027,3096,3146
1574809827,3099,3149
1574815227,3104,3154
1574820627,3103,3153
1574824225,3109,3159
1574829627,3103,3153
1574835627,3101,3151
1574841027,3102,3152
1574846428,3106,3156
1574851827,3105,3154
1574857827,3108,3157
1574861425,3112,3161
1574865027,3111,3161
1574868626,3113,3163
1574873427,3105,3158
1574878226,3108,3161
1574883027,3111,3164
1574886625,3116,3169
1574893826,3117,3170
1574898627,3108,3161
1574902826,3112,3165
1574907027,3112,3164
1574912427,3113,3165
1574917827,3114,3166
1574922027,3119,3171
1574927426,3120,3172
1574932827,3127,3179
1574938227,3125,3177
1574943627,3126,3178
1574948431,3119,3171
1574953827,3127,3179
1574959827,3126,3178
1574965232,3127,3179
1574970627,3127,3179
1574974832,3123,3175
1574978428,3126,3178
1574983231,3129,3181
1574988029,3130,3182
1574994030,3135,3187
1574998830,3136,3188
1575004830,3138,3190
1575010831,3137,3189
1575015030,3138,3189
1575021630,3145,3196
1575026427,3149,3200
1575031828,3149,3200
1575037827,3148,3199
1575042027,3147,3198
1575048027,3150,3201
1575052827,3150,3201
1575058831,3150,3199
1575063627,3147,3196
1575069027,3147,3196
1575073827,3151,3200
1575078027,3157,3206
1575081625,3163,3212
1575087626,3166,3215
1575093627,3166,3215
1575097826,3162,3212
1575103826,3161,3210
1575108627,3161,3210
1575114026,3166,3215
1575117625,3168,3217
1575122427,3167,3216
1575126026,3171,3220
1575130226,3175,3225
1575135026,3181,3231
1575138626,3184,3234
1575142226,3187,3237
1575145825,3186,3235
1575149426,3190,3239
1575153025,3189,3238
1575156627,3186,3235
1575163827,3180,3229
1575168626,3174,3223
1575174026,3169,3218
1575178827,3172,3221
1575181825,3169,3218
1575185426,3176,3225
1575189025,3179,3228
1575193227,3177,3226
1575198627,3177,3226
1575203427,3174,3222
1575207025,3179,3227
1575210626,3174,3222
1575214225,3180,3228
1575217827,3176,3224
1575220826,3181,3229
1575224427,3181,3230
1575228025,3184,3233
1575232228,3184,3233
