DateTime,AddedIPs,RemovedIPs
1554541521,26,22
1554584719,43,17
1554627933,30,12
1554671134,34,23
1554714322,44,18
1554757530,28,34
1554800728,13,22
1554843929,52,26
1554887129,13,33
1554930335,34,34
1554973524,20,24
1555016731,25,40
1555059924,18,24
1555103130,23,26
1555146320,18,13
1555189531,21,25
1555232731,18,13
1555275929,17,28
1555320024,11,16
1555363222,38,20
1555406428,31,14
1555449617,31,47
1555492829,28,18
1555536023,49,22
1555579221,31,18
1555622429,40,36
1555665620,22,20
1555708841,25,40
1555752023,16,14
1555795234,22,18
1555838421,21,21
1555881623,23,35
1555924827,18,22
1555968024,29,25
1556011216,19,20
1556054433,28,20
1556097618,21,20
1556140826,31,49
1556184021,23,25
1556227228,10,28
1556270427,1,18
1556313625,6,26
1556356824,4,31
1556400021,6,13
1556443222,2,2
1556486423,1,9
1556529622,3,5
1556572834,7,4
1556616015,7,2
1556659223,79,4
1556702421,29,1
1556745620,35,11
1556788824,38,1
1556832037,26,80
1556875221,25,16
1556918424,34,28
1556961623,18,27
1557004829,31,42
1557048046,28,16
1557091219,40,18
1557134426,16,25
1557177630,48,22
1557220822,20,18
1557264037,26,28
1557307244,13,14
1557350435,31,23
1557393624,19,17
1557436829,35,22
1557480026,22,13
1557523233,31,25
1557566438,35,21
1557609626,22,17
1557652828,20,17
1557696025,20,40
1557739233,26,24
1557782436,26,38
1557825636,19,23
1557868837,20,27
1557912027,44,17
1557955235,25,28
1557998441,19,24
1558041633,36,29
1558084833,13,12
1558128025,30,30
1558171229,15,24
1558214423,27,19
1558257632,16,23
1558300828,25,21
1558344032,23,16
1558387226,42,24
1558430435,25,19
1558473640,35,24
1558516841,25,12
1558560032,37,21
1558603241,25,23
1558646437,34,27
1558689644,29,30
1558732857,37,26
1558776045,20,15
1558819238,22,25
1558862450,3,17
1558905639,39,17
1558948847,11,21
1558992051,26,37
1559035250,12,0
1559078447,31,22
1559121656,14,10
1559164850,36,27
1559208053,18,14
1559251258,34,31
1559294455,23,10
1559337651,31,27
1559380861,26,25
1559424052,22,19
1559467245,13,13
1559532946,33,38
1559576148,30,26
1559619340,24,19
1559662554,17,28
1559705748,16,10
1559748943,24,18
1559792144,18,15
1559835347,23,21
1559878536,18,20
1559921754,28,19
1559964950,25,16
1560008083,25,19
1560051278,16,12
1560094479,27,29
1560137681,18,28
1560180939,31,27
1560224149,19,16
1560267344,35,30
1560310546,21,21
1560353753,23,20
1560396939,19,14
1560440142,16,31
1560483337,37,19
1560526493,13,32
1560569750,37,7
1560634560,31,30
1560677746,25,25
1560720946,32,9
1560764164,24,21
1560807343,27,24
1560850540,19,16
1560893746,24,27
1560936946,24,18
1560980147,32,20
1561023347,18,21
1561066546,24,25
1561109753,11,22
1561152950,38,38
1561196146,16,20
1561239342,26,29
1561282535,18,14
1561325734,36,29
1561368936,13,10
1561412135,33,33
1561455334,18,38
1561498534,33,23
1561541736,13,25
1561584938,31,25
1561628146,23,27
1561671338,16,21
1561714545,0,21
1561757741,11,24
1561800949,0,26
1561844151,8,754
1561887334,2,8
1561930543,15,7
1561973751,1,1
1562016944,32,10
1562060142,0,1
1562103345,21,10
1562146540,8,3
1562189740,27,16
1562232936,9,8
1562276146,22,32
1562319330,1,4
1562362526,6,20
1562405728,1,0
1562448927,2,7
1562492131,0,3
1562535335,0,17
1562578532,0,6
1562621730,4,32
1562708128,27,16
1562751327,1,8
1562794537,38,11
1562837737,2,3
1562880937,13,31
1562924141,1,1
1562967334,16,5
1563010538,0,2
1563053741,20,3
1563096946,2,0
1563140138,17,7
1563183337,0,6
1563226533,7,2
1563269732,0,5
1563312947,10,18
1563356143,7,3
1563399337,14,40
1563442539,3,3
1563485731,11,10
1563528937,1,6
1563572141,8,17
1563615339,3,1
1563680138,7,15
1563723345,10,19
1563766542,0,4
1563809743,11,3
1563852952,0,7
1563896149,0,7
1563939336,1,8
1563982536,28,16
1564025738,1,6
1564068916,22,16
1564112139,2,1
1564155343,6,21
1564198534,1,6
1564241744,13,62
1564284936,0,7
1564328134,38,20
1564371325,3,3
1564414526,7,18
1564457730,1,0
1564500937,10,3
1564544130,2,2
1564587338,15,13
1564630537,497,1
1564673740,19,13
1564716934,0,11
1564760146,22,10
1564803342,0,35
1564846547,11,66
1564889733,1,0
1564932938,12,108
1564998644,7,3
1565041837,26,53
1565085042,2,2
1565128241,30,73
1565171452,0,1
1565214662,63,25
1565257859,1,1
1565301068,8,26
1565344256,0,8
