DateTime,Entries,UniqueIPs
1554541521,1510,1510
1554584719,1536,1536
1554627933,1554,1554
1554671134,1565,1565
1554714322,1591,1591
1554757530,1585,1585
1554800728,1576,1576
1554843929,1602,1602
1554887129,1582,1582
1554930335,1582,1582
1554973524,1578,1578
1555016731,1563,1563
1555059924,1557,1557
1555103130,1554,1554
1555146320,1559,1559
1555189531,1555,1555
1555232731,1560,1560
1555275929,1549,1549
1555320024,1544,1544
1555363222,1562,1562
1555406428,1579,1579
1555449617,1563,1563
1555492829,1573,1573
1555536023,1600,1600
1555579221,1613,1613
1555622429,1617,1617
1555665620,1619,1619
1555708841,1604,1604
1555752023,1606,1606
1555795234,1610,1610
1555838421,1610,1610
1555881623,1598,1598
1555924827,1594,1594
1555968024,1598,1598
1556011216,1597,1597
1556054433,1605,1605
1556097618,1606,1606
1556140826,1588,1588
1556184021,1586,1586
1556227228,1568,1568
1556270427,1551,1551
1556313625,1531,1531
1556356824,1504,1504
1556400021,1497,1497
1556443222,1497,1497
1556486423,1489,1489
1556529622,1487,1487
1556572834,1490,1490
1556616015,1495,1495
1556659223,1570,1570
1556702421,1598,1598
1556745620,1622,1622
1556788824,1659,1659
1556832037,1605,1605
1556875221,1614,1614
1556918424,1620,1620
1556961623,1611,1611
1557004829,1600,1600
1557048046,1612,1612
1557091219,1634,1634
1557134426,1625,1625
1557177630,1651,1651
1557220822,1653,1653
1557264037,1651,1651
1557307244,1650,1650
1557350435,1658,1658
1557393624,1660,1660
1557436829,1673,1673
1557480026,1682,1682
1557523233,1688,1688
1557566438,1702,1702
1557609626,1707,1707
1557652828,1710,1710
1557696025,1690,1690
1557739233,1692,1692
1557782436,1680,1680
1557825636,1676,1676
1557868837,1669,1669
1557912027,1696,1696
1557955235,1693,1693
1557998441,1688,1688
1558041633,1695,1695
1558084833,1696,1696
1558128025,1696,1696
1558171229,1687,1687
1558214423,1695,1695
1558257632,1688,1688
1558300828,1692,1692
1558344032,1699,1699
1558387226,1717,1717
1558430435,1723,1723
1558473640,1734,1734
1558516841,1747,1747
1558560032,1763,1763
1558603241,1765,1765
1558646437,1772,1772
1558689644,1771,1771
1558732857,1782,1782
1558776045,1787,1787
1558819238,1784,1784
1558862450,1770,1770
1558905639,1792,1792
1558948847,1782,1782
1558992051,1771,1771
1559035250,1783,1783
1559078447,1792,1792
1559121656,1796,1796
1559164850,1805,1805
1559208053,1809,1809
1559251258,1812,1812
1559294455,1825,1825
1559337651,1829,1829
1559380861,1830,1830
1559424052,1833,1833
1559467245,1833,1833
1559532946,1828,1828
1559576148,1832,1832
1559619340,1837,1837
1559662554,1826,1826
1559705748,1832,1832
1559748943,1838,1838
1559792144,1841,1841
1559835347,1843,1843
1559878536,1841,1841
1559921754,1850,1850
1559964950,1859,1859
1560008083,1865,1865
1560051278,1869,1869
1560094479,1867,1867
1560137681,1857,1857
1560180939,1861,1861
1560224149,1864,1864
1560267344,1869,1869
1560310546,1869,1869
1560353753,1872,1872
1560396939,1877,1877
1560440142,1862,1862
1560483337,1880,1880
1560526493,1861,1861
1560569750,1891,1891
1560634560,1892,1892
1560677746,1892,1892
1560720946,1915,1915
1560764164,1918,1918
1560807343,1921,1921
1560850540,1924,1924
1560893746,1921,1921
1560936946,1927,1927
1560980147,1939,1939
1561023347,1936,1936
1561066546,1935,1935
1561109753,1924,1924
1561152950,1924,1924
1561196146,1920,1920
1561239342,1917,1917
1561282535,1921,1921
1561325734,1928,1928
1561368936,1931,1931
1561412135,1931,1931
1561455334,1911,1911
1561498534,1921,1921
1561541736,1909,1909
1561584938,1915,1915
1561628146,1911,1911
1561671338,1906,1906
1561714545,1885,1885
1561757741,1872,1872
1561800949,1846,1846
1561844151,1100,1100
1561887334,1094,1094
1561930543,1102,1102
1561973751,1102,1102
1562016944,1124,1124
1562060142,1123,1123
1562103345,1134,1134
1562146540,1139,1139
1562189740,1150,1150
1562232936,1151,1151
1562276146,1141,1141
1562319330,1138,1138
1562362526,1124,1124
1562405728,1125,1125
1562448927,1120,1120
1562492131,1117,1117
1562535335,1100,1100
1562578532,1094,1094
1562621730,1066,1066
1562708128,1077,1077
1562751327,1070,1070
1562794537,1097,1097
1562837737,1096,1096
1562880937,1078,1078
1562924141,1078,1078
1562967334,1089,1089
1563010538,1087,1087
1563053741,1104,1104
1563096946,1106,1106
1563140138,1116,1116
1563183337,1110,1110
1563226533,1115,1115
1563269732,1110,1110
1563312947,1102,1102
1563356143,1106,1106
1563399337,1080,1080
1563442539,1080,1080
1563485731,1081,1081
1563528937,1076,1076
1563572141,1067,1067
1563615339,1069,1069
1563680138,1061,1061
1563723345,1052,1052
1563766542,1048,1048
1563809743,1056,1056
1563852952,1049,1049
1563896149,1042,1042
1563939336,1035,1035
1563982536,1047,1047
1564025738,1042,1042
1564068916,1048,1048
1564112139,1049,1049
1564155343,1034,1034
1564198534,1029,1029
1564241744,980,980
1564284936,973,973
1564328134,991,991
1564371325,991,991
1564414526,980,980
1564457730,981,981
1564500937,988,988
1564544130,988,988
1564587338,990,990
1564630537,1486,1486
1564673740,1492,1492
1564716934,1481,1481
1564760146,1493,1493
1564803342,1458,1458
1564846547,1403,1403
1564889733,1404,1404
1564932938,1308,1308
1564998644,1312,1312
1565041837,1285,1285
1565085042,1285,1285
1565128241,1242,1242
1565171452,1241,1241
1565214662,1279,1279
1565257859,1279,1279
1565301068,1261,1261
1565344256,1253,1253
1565387443,1263,1263
1565430655,1260,1260
1565473849,1241,1241
1565517047,1240,1240
1565560260,1195,1195
1565603446,1193,1193
1565646645,1179,1179
1565689843,1179,1179
1565733053,1180,1180
1565776252,1178,1178
1565819449,1176,1176
1565862645,1175,1175
