DateTime,AddedIPs,RemovedIPs
1576584722,30,26
1576585322,36,0
1576585922,18,55
1576586522,16,0
1576587122,32,29
1576587722,21,0
1576588922,32,90
1576589522,23,0
1576590122,31,40
1576590722,25,24
1576591322,22,27
1576591922,31,23
1576592522,23,0
1576593722,21,25
1576594322,31,27
1576595521,27,48
1576596121,30,0
1576596722,31,34
1576597322,21,0
1576597922,28,19
1576598522,22,0
1576599122,23,25
1576599722,32,21
1576600921,24,25
1576601522,35,23
1576602122,28,25
1576602722,23,0
1576603323,28,46
1576603922,19,27
1576604522,21,0
1576605122,22,42
1576605722,23,0
1576606321,25,23
1576606922,29,6
1576607522,29,22
1576608122,15,28
1576609323,33,41
1576610521,15,14
1576611122,9,34
1576611722,28,18
1576612322,19,0
1576612922,30,0
1576613522,18,0
1576614122,19,33
1576614722,20,8
1576615322,26,0
1576616522,25,35
1576617121,27,0
1576617722,20,25
1576618322,21,45
1576618922,27,0
1576619522,17,41
1576620122,28,30
1576620722,24,26
1576621322,17,0
1576621922,15,32
1576622522,26,18
1576623122,38,23
1576623722,25,27
1576624322,29,16
1576624922,25,27
1576626122,29,41
1576626722,30,0
1576627323,29,22
1576627922,28,0
1576628522,18,17
1576629122,20,23
1576629722,21,0
1576630322,20,25
1576630922,24,29
1576632123,15,24
1576632722,17,28
1576633322,28,28
1576633922,14,28
1576634522,33,0
1576635122,22,25
1576635723,26,21
1576636322,21,25
1576636922,34,31
1576638122,22,62
1576639922,16,70
1576640522,17,25
1576641122,26,0
1576641722,24,57
1576642322,20,0
1576642922,13,24
1576643522,17,57
1576644722,15,49
1576645322,18,0
1576645922,11,13
1576646522,25,53
1576647723,24,0
1576648323,28,26
1576649522,22,67
1576650122,26,21
1576650722,18,0
1576651322,35,21
1576652522,25,35
1576653122,18,0
1576653722,23,0
1576654922,16,83
1576655522,30,0
1576656122,29,52
1576656722,22,29
1576657322,19,0
1576657922,28,14
1576659121,24,53
1576659722,27,0
1576660922,31,50
1576661523,14,28
1576662122,5,53
1576662722,24,0
1576663323,30,27
1576663922,29,25
1576664521,25,27
1576665122,20,21
1576665722,21,0
1576666321,16,29
1576666922,19,52
1576667522,29,0
1576668122,19,0
1576668722,20,30
1576669322,4,24
1576669922,28,58
1576670522,33,0
1576671122,18,18
1576671722,28,61
1576672322,5,0
1576672922,22,54
1576673522,32,25
1576674722,8,21
1576675323,20,0
1576676522,24,53
1576677122,31,64
1576677722,24,25
1576678322,28,20
