DateTime,AddedIPs,RemovedIPs
1576584722,78,78
1576585322,80,80
1576585922,80,80
1576586522,80,80
1576587122,79,79
1576587722,80,80
1576588922,80,80
1576589522,80,80
1576590122,80,80
1576590722,80,80
1576591322,80,80
1576591922,80,80
1576592522,80,80
1576593722,80,80
1576594322,80,80
1576595521,80,80
1576596121,80,80
1576596722,80,80
1576597322,80,80
1576597922,80,80
1576598522,80,80
1576599122,80,80
1576599722,80,80
1576600921,80,80
1576601522,80,80
1576602122,80,80
1576602722,80,80
1576603323,80,80
1576603922,80,80
1576604522,80,80
1576605122,80,80
1576605722,80,80
1576606321,80,80
1576606922,80,80
1576607522,80,80
1576608122,80,80
1576609323,80,80
1576610521,56,56
1576611122,31,31
1576611722,79,79
1576612322,80,80
1576612922,77,77
1576613522,80,80
1576614122,80,80
1576614722,80,80
1576615322,80,80
1576616522,80,80
1576617121,80,80
1576617722,80,80
1576618322,80,80
1576618922,80,80
1576619522,80,80
1576620122,80,80
1576620722,80,80
1576621322,80,80
1576621922,80,80
1576622522,80,80
1576623122,80,80
1576623722,64,64
1576624322,79,79
1576624922,80,80
1576626122,80,80
1576626722,80,80
1576627323,80,80
1576627922,80,80
1576628522,80,80
1576629122,80,80
1576629722,80,80
1576630322,80,80
1576630922,67,67
1576632123,80,80
1576632722,80,80
1576633322,80,80
1576633922,80,80
1576634522,80,80
1576635122,80,80
1576635723,80,80
1576636322,80,80
1576636922,80,80
1576638122,80,80
1576639922,80,80
1576640522,80,80
1576641122,80,80
1576641722,78,78
1576642322,80,80
1576642922,75,75
1576643522,80,80
1576644722,80,80
1576645322,80,80
1576645922,31,31
1576646522,80,80
1576647723,80,80
1576648323,80,80
1576649522,80,80
1576650122,80,80
1576650722,80,80
1576651322,80,80
1576652522,80,80
1576653122,80,80
1576653722,80,80
1576654922,80,80
1576655522,80,80
1576656122,80,80
1576656722,80,80
1576657322,80,80
1576657922,80,80
1576659121,80,80
1576659722,80,80
1576660922,78,78
1576661523,80,80
1576662122,21,21
1576662722,79,79
1576663323,80,80
1576663922,80,80
1576664521,80,80
1576665122,80,80
1576665722,80,80
1576666321,80,80
1576666922,80,80
1576667522,80,80
1576668122,80,80
1576668722,80,80
1576669322,79,79
1576669922,80,80
1576670522,80,80
1576671122,80,80
1576671722,80,80
1576672322,57,57
1576672922,80,80
1576673522,80,80
1576674722,79,79
1576675323,79,79
1576676522,80,80
1576677122,79,79
1576677722,80,80
1576678322,70,70
1576678922,80,80
1576679522,80,80
1576680122,80,80
1576681321,80,80
1576682522,80,80
1576683721,79,79
1576684922,80,80
1576685522,80,80
1576686122,80,80
1576686722,79,79
1576687322,79,79
1576688523,80,80
1576689122,80,80
1576689722,80,80
1576690322,80,80
1576690922,80,80
1576691522,80,80
1576692122,80,80
1576692722,80,80
1576693322,80,80
1576693922,80,80
1576694522,80,80
1576695122,80,80
1576695722,80,80
1576696322,80,80
1576696923,70,70
1576697522,80,80
1576698122,80,80
1576698722,80,80
1576699322,80,80
1576700522,80,80
1576701122,80,80
1576701722,80,80
1576702322,80,80
1576702922,80,80
1576704122,80,80
1576704722,80,80
1576705321,80,80
1576705922,80,80
1576707122,77,77
1576707722,80,80
1576708322,80,80
1576708922,80,80
1576709522,80,80
1576710122,74,74
1576710722,27,27
1576711322,35,35
1576711922,80,80
1576712522,80,80
1576713122,80,80
1576713723,80,80
1576714323,80,80
1576714922,80,80
1576715522,80,80
1576716122,80,80
1576716722,46,46
1576717323,80,80
1576718522,79,79
1576719122,79,79
1576719722,80,80
1576720321,80,80
1576720922,80,80
1576721522,80,80
1576722122,80,80
1576722722,78,78
1576723322,80,80
1576723922,80,80
1576724522,80,80
1576725122,80,80
1576725722,80,80
1576726322,80,80
1576726922,80,80
1576727522,80,80
1576728122,80,80
1576728722,80,80
1576729322,80,80
1576729922,78,78
1576730521,80,80
1576731122,80,80
1576731722,80,80
1576732322,80,80
1576732922,80,80
1576733522,80,80
1576734122,80,80
1576734721,80,80
1576735322,80,80
1576735922,80,80
1576736522,75,75
1576737122,80,80
1576737722,80,80
1576738322,80,80
1576738922,80,80
1576740122,80,80
1576741323,80,80
1576741922,80,80
1576742522,80,80
1576743121,79,79
1576743722,80,80
1576744322,80,80
1576744922,80,80
1576746122,79,79
1576746722,80,80
1576747322,79,79
1576747921,80,80
1576748522,80,80
1576749722,80,80
1576750322,80,80
1576751522,80,80
1576752122,80,80
1576752722,80,80
1576753321,80,80
1576753922,77,77
1576754522,80,80
1576755122,80,80
1576755722,80,80
1576756922,80,80
1576758122,80,80
1576758722,80,80
1576759322,80,80
1576759922,62,62
1576761122,35,35
1576761722,29,29
1576762322,79,79
1576762922,80,80
1576763522,80,80
1576764122,80,80
1576764722,80,80
1576765322,80,80
1576765923,80,80
1576766522,80,80
1576767722,73,73
1576768322,79,79
1576768922,79,79
1576770122,79,79
1576771321,80,80
1576771922,80,80
1576772522,80,80
1576773122,80,80
1576773722,19,19
1576774322,80,80
1576774922,80,80
1576775522,80,80
1576776122,80,80
1576776722,80,80
1576777322,80,80
1576777922,80,80
1576778522,80,80
1576779122,80,80
1576779722,80,80
1576780321,80,80
1576780922,77,77
1576781522,80,80
1576782722,80,80
1576783322,80,80
1576783922,80,80
1576784522,80,80
1576785122,80,80
1576785722,78,78
1576786922,71,71
1576787522,80,80
1576788122,79,79
1576788723,80,80
1576789321,80,80
1576789922,80,80
1576790522,80,80
1576791122,80,80
1576791722,69,69
1576792922,80,80
1576793522,80,80
1576794122,78,78
1576794722,79,79
1576795323,79,79
1576795921,65,65
1576796522,79,79
1576797122,79,79
1576797722,80,80
1576798322,80,80
1576798922,80,80
1576799522,80,80
1576800123,80,80
1576800722,28,28
1576801322,29,29
1576801922,43,43
1576802522,80,80
1576803122,80,80
1576804322,80,80
1576804922,80,80
1576805522,80,80
1576806122,80,80
1576806722,80,80
1576807322,69,69
1576808522,80,80
1576809121,80,80
1576809722,80,80
1576810322,22,22
1576810923,22,22
1576811522,80,80
1576812122,71,71
1576812723,20,20
1576813322,23,23
1576813922,80,80
1576814522,80,80
1576815122,80,80
1576815722,80,80
1576816322,80,80
1576816922,80,80
1576817521,80,80
1576818723,80,80
1576819322,80,80
1576819922,65,65
1576820521,72,72
1576821122,14,14
1576821722,80,80
1576822322,80,80
1576822922,80,80
1576823522,80,80
1576824122,77,77
1576824722,20,20
1576825322,20,20
1576825922,14,14
1576826523,80,80
1576827122,80,80
1576827722,80,80
1576828322,80,80
1576828922,80,80
1576829522,80,80
1576830122,80,80
1576831321,80,80
1576831922,80,80
1576832522,80,80
1576833122,79,79
1576833721,80,80
1576834922,76,76
1576835522,80,80
1576836122,80,80
1576836722,80,80
1576837322,80,80
1576837922,80,80
1576838522,80,80
1576839122,80,80
1576839722,80,80
1576840922,80,80
1576841521,80,80
1576842121,80,80
1576843322,80,80
1576843922,80,80
1576844522,79,79
1576845722,80,80
1576846921,80,80
1576848122,78,78
1576848722,80,80
1576849322,80,80
1576849922,80,80
1576850522,79,79
1576851123,79,79
1576851722,80,80
1576852323,80,80
1576852922,80,80
1576853522,80,80
1576854122,80,80
1576854722,79,79
1576855321,79,79
1576856522,80,80
1576857122,80,80
1576857722,80,80
1576858322,80,80
1576858922,80,80
1576859522,80,80
1576860122,80,80
1576860722,80,80
1576861322,80,80
1576861922,80,80
1576862522,80,80
1576863722,80,80
1576864322,77,77
1576864922,80,80
1576865522,80,80
1576866122,80,80
1576866722,80,80
1576867322,80,80
1576867921,80,80
1576868522,80,80
1576869722,80,80
1576870922,80,80
1576872121,80,80
1576872722,80,80
1576873322,80,80
1576873922,80,80
1576874522,80,80
1576875122,80,80
1576876322,80,80
1576876922,80,80
1576877523,80,80
1576878122,80,80
1576878721,80,80
1576879323,80,80
1576879922,80,80
1576880522,80,80
1576881122,80,80
1576881722,80,80
1576882322,80,80
1576882922,80,80
1576883522,80,80
1576884122,80,80
1576884722,18,18
1576885322,15,15
1576886522,80,80
1576887123,80,80
1576887722,80,80
1576888322,80,80
1576888922,80,80
1576889523,80,80
1576890122,80,80
1576890722,80,80
1576891322,80,80
1576892522,80,80
1576893121,80,80
1576894322,80,80
1576894922,80,80
1576895522,80,80
1576896122,80,80
1576896722,80,80
1576897323,80,80
1576897922,75,75
1576898522,80,80
1576899122,80,80
1576899722,80,80
1576900322,80,80
1576900921,80,80
1576901522,80,80
1576902722,80,80
1576903322,80,80
1576904522,80,80
1576905122,80,80
1576905722,80,80
1576906322,80,80
1576906922,80,80
1576908122,80,80
1576908722,80,80
1576909322,80,80
1576909922,80,80
1576910521,80,80
1576911722,80,80
1576912323,80,80
1576912922,80,80
1576913522,80,80
1576914122,80,80
1576914723,80,80
1576915322,80,80
1576916523,80,80
1576917121,80,80
1576917722,80,80
1576918322,80,80
1576919522,80,80
1576920121,80,80
1576921323,80,80
1576921922,80,80
1576922522,80,80
1576923722,80,80
1576924922,77,77
1576925522,80,80
1576926122,77,77
1576926722,80,80
1576927322,80,80
