DateTime,AddedIPs,RemovedIPs
1576492322,0,3
1576493522,2,1
1576494721,0,10
1576495321,1,0
1576495921,3,12
1576497122,1,1
1576497722,2,8
1576498322,0,1
1576499522,4,0
1576501322,1,3
1576502521,0,1
1576503122,0,2
1576504922,3,0
1576506122,2,0
1576507322,2,7
1576509722,1,2
1576510322,2,0
1576512122,2,0
1576512722,0,4
1576514521,0,13
1576515122,1,0
1576515721,2,5
1576517522,2,2
1576518121,1,0
1576519322,2,4
1576519922,1,0
1576520522,0,1
1576521122,6,0
1576522322,1,0
1576523521,2,2
1576524123,2,0
1576525322,0,2
1576527122,4,3
1576527722,1,14
1576528921,0,1
1576530122,0,12
1576530722,0,6
1576531322,1,10
1576531921,1,1
1576532523,5,0
1576533122,1,0
1576533722,1,5
1576534922,5,1
1576535522,1,0
1576536122,4,0
1576536722,2,3
1576537322,1,0
1576538522,4,4
1576540323,0,2
1576542122,0,5
1576543322,0,3
1576545122,6,12
1576545722,2,6
1576546922,2,3
1576547522,2,0
1576548122,1,10
1576548721,1,4
1576550522,2,9
1576551121,1,9
1576551722,1,8
1576552322,1,2
1576552922,1,8
1576553522,5,4
1576554122,0,2
1576554722,0,3
1576555322,1,0
1576555922,1,2
1576556522,0,4
1576557122,0,2
1576558922,2,11
1576559522,2,0
1576560122,1,0
1576561322,2,0
1576562522,0,9
1576563122,1,0
1576564922,0,6
1576566121,2,0
1576566722,1,0
1576567322,0,6
1576567922,2,0
1576570922,1,2
1576571522,2,0
1576572122,2,9
1576573322,1,0
1576573922,2,0
1576574522,1,0
1576575122,4,0
1576575722,0,1
1576576922,1,1
1576577522,1,4
1576578122,1,0
1576578722,0,4
1576579322,3,0
1576580522,1,13
1576581722,2,5
1576582322,0,1
1576582922,0,13
1576584122,1,5
1576584722,2,0
1576585321,1,0
1576585922,0,3
1576586522,1,0
1576587122,2,0
1576587722,0,4
1576588922,1,4
1576591322,2,0
1576593722,2,0
1576594322,0,1
1576594922,1,1
1576595521,1,0
1576596121,0,1
1576596722,2,1
1576597321,3,0
1576597922,1,1
1576598522,1,0
1576599122,4,2
1576599722,1,8
1576600322,2,0
1576601522,1,6
1576602122,1,3
1576603322,1,0
1576603921,1,4
1576604522,3,0
1576605122,3,0
1576605721,3,0
1576606321,0,1
1576608122,2,1
1576609322,0,1
1576609921,0,3
1576610521,0,3
1576611122,2,14
1576611722,0,1
1576612322,1,0
1576613522,0,2
1576614122,2,1
1576614722,0,7
1576615322,2,7
1576615922,0,4
1576616522,0,10
1576617121,0,11
1576617722,1,5
1576618322,0,3
1576619522,8,3
1576620122,3,2
1576620722,1,1
1576621922,2,6
1576623122,3,2
1576623722,0,4
1576624322,0,1
1576624922,0,1
1576626122,2,3
1576627322,0,15
1576627922,1,0
1576628522,0,1
1576629122,0,4
1576629722,1,0
1576630322,0,2
1576631522,10,1
1576632722,0,3
1576633922,0,1
1576634522,1,0
1576635122,0,5
1576635723,0,6
1576636322,2,0
1576636922,0,14
1576637522,4,0
1576638722,0,6
1576639322,3,4
1576639921,1,5
1576640522,0,1
1576641122,0,1
1576641722,0,1
1576642922,0,2
1576643522,1,8
1576644122,1,0
1576645322,0,1
1576645922,2,1
1576646522,1,11
1576647122,1,5
1576647722,0,5
1576648322,27,0
1576648922,3,13
1576649522,3,4
1576650122,2,11
1576650722,0,7
1576651322,1,7
1576651922,1,3
1576652522,2,0
1576653122,0,1
1576653722,2,0
1576654322,3,2
1576654921,1,0
1576655522,0,1
1576656122,0,1
1576656722,0,1
1576658522,2,1
1576659722,0,1
1576660322,1,0
1576661523,0,5
1576662122,3,0
1576662722,1,2
1576664521,0,3
1576665122,0,2
1576666321,0,11
1576666922,1,1
1576667522,2,1
1576668122,0,1
1576668722,5,13
1576669321,0,13
1576670522,0,3
1576671722,0,1
1576672322,1,0
1576674722,0,1
1576675922,6,0
1576677122,8,1
1576678322,0,1
1576679522,0,2
1576681922,1,1
1576682522,3,0
1576683721,1,6
1576684922,4,0
1576685522,1,9
1576686121,2,7
1576686722,0,12
1576687322,0,3
1576689122,2,13
1576689722,1,0
1576690321,1,2
1576690922,1,3
1576692122,0,4
1576692722,1,2
1576693322,2,0
1576693922,1,0
1576695122,1,0
1576695722,1,0
1576696322,2,1
1576696922,2,4
1576698122,3,0
1576698722,1,1
1576699322,1,2
1576699922,0,12
1576701122,3,1
1576701722,1,4
1576702322,0,2
1576702921,2,4
1576703522,0,2
1576704122,1,1
1576704722,0,2
1576705922,1,3
1576706522,2,4
1576707722,1,2
1576709522,1,1
1576710121,1,1
1576710722,2,0
1576711321,1,0
1576712522,2,2
1576713723,1,1
1576714323,2,1
1576714922,0,3
1576715522,0,12
1576716722,3,0
1576717323,2,6
1576717922,8,3
1576718522,1,3
1576720321,0,4
1576720922,0,7
1576722122,0,7
1576722722,0,1
1576723322,0,2
1576723922,0,1
1576724522,0,2
1576725722,2,0
1576726322,2,2
1576726922,1,3
1576727522,0,2
1576728122,2,3
1576728722,1,0
1576729322,0,2
1576729922,0,2
1576731122,1,2
1576731722,1,5
1576732322,4,0
1576732922,0,9
1576733522,0,5
1576734122,0,2
1576734721,1,0
1576735322,0,8
1576735922,0,5
1576737122,0,2
1576737722,0,11
1576738322,0,4
1576740122,3,1
1576740722,1,1
1576741322,0,8
1576741922,2,0
1576742522,2,1
1576743722,1,0
1576746122,2,0
1576747321,0,2
1576747921,1,2
1576749722,0,8
1576750322,0,13
1576750922,0,7
1576751522,0,6
1576752122,0,4
1576752722,1,0
1576753321,0,3
1576753922,3,0
1576754522,2,3
1576755721,1,1
1576756922,1,1
1576758121,3,0
1576759322,0,2
1576760522,6,0
1576761122,2,1
1576762322,2,0
1576762921,1,0
1576763522,2,0
1576765322,1,2
1576766522,4,1
1576767722,0,4
1576768322,1,0
1576768922,4,2
1576770122,2,2
1576770722,0,1
1576771922,1,0
1576773122,2,2
1576773722,2,0
1576774322,1,3
1576774922,2,3
1576775522,8,14
1576776122,1,13
1576776722,2,5
1576777322,0,1
1576778522,1,1
1576779122,0,2
1576780922,1,2
1576782121,2,2
1576783322,10,1
1576784522,0,4
1576785122,2,3
1576785722,5,3
1576786321,1,0
1576786922,0,6
1576787522,32,0
1576788122,0,1
1576788723,2,2
1576789321,4,0
1576789922,2,0
1576790522,1,0
1576791722,0,1
1576792322,1,1
1576792921,3,0
1576793522,1,0
1576794122,6,0
1576794722,3,7
1576795323,6,0
1576795921,0,3
1576797122,1,1
1576798922,1,1
1576799522,18,1
1576800123,0,2
1576801922,6,1
1576802522,1,0
1576803722,0,23
1576804321,1,4
1576804922,2,0
1576805522,2,5
1576806122,2,6
1576807322,5,6
1576807922,4,0
1576808522,1,7
1576809722,2,9
1576810322,0,13
1576810923,1,0
1576811522,2,0
1576812122,1,1
1576812722,0,1
1576813322,1,0
1576814522,0,3
1576815122,0,3
1576815721,0,2
1576816321,0,4
1576816922,1,1
1576818723,1,1
1576819322,2,1
1576819922,5,0
1576820521,0,2
1576821122,0,5
1576821722,0,13
1576822922,0,11
1576824122,3,9
1576824722,1,6
1576825322,1,0
1576825921,0,11
1576826523,0,1
1576827122,4,0
1576827722,0,4
1576828922,0,2
1576830121,0,2
1576831321,0,1
1576831922,0,1
1576833121,0,4
1576833721,0,5
1576834321,0,7
1576834922,0,8
1576835522,0,3
1576836122,2,0
1576836722,0,6
1576837922,0,2
1576838521,1,0
1576839722,0,5
1576840322,0,1
1576840922,0,1
1576841521,1,0
1576842722,0,2
1576844522,2,1
1576845722,5,0
1576846921,2,0
1576847522,1,0
1576848122,1,0
1576849922,2,0
1576851722,1,0
1576855321,2,0
1576856522,1,0
1576857122,1,0
1576857722,2,0
1576859522,1,0
1576861922,1,0
1576862522,3,0
1576863122,2,0
1576864922,1,0
1576865522,1,0
1576866121,2,0
1576866722,3,0
1576867322,1,0
1576869122,1,0
1576869722,1,0
1576870922,1,0
1576872121,5,0
1576872722,1,0
1576874522,3,0
1576876922,1,0
1576878721,1,0
1576879922,1,0
1576881121,7,0
1576881721,1,0
1576882922,9,0
1576883522,1,0
1576884122,1,0
1576884722,1,0
1576886522,4,0
1576888322,2,0
1576888922,1,1
1576889522,1,0
1576890122,1,0
1576890722,1,0
1576891322,1,9
1576892522,2,0
1576893722,7,2
1576895521,1,0
1576896722,2,1
1576897322,3,0
1576897922,1,0
1576898522,1,1
1576899122,1,1
1576899722,0,1
1576900921,0,2
1576901522,3,0
1576902122,1,1
1576902722,0,2
1576903322,0,3
1576903922,2,1
1576904522,2,0
1576905722,0,4
1576906322,1,0
1576906922,0,2
1576908122,3,10
1576908722,6,0
1576909322,0,13
1576910521,1,0
1576911722,2,1
1576912322,1,2
1576912922,2,1
1576913522,2,0
1576914122,0,8
1576914722,2,3
1576915322,0,3
1576915922,0,1
1576916522,2,0
1576917121,0,1
1576917722,2,0
1576918322,3,0
1576918922,1,1
1576919522,1,0
1576921323,2,1
1576921922,2,1
1576923722,0,1
1576924922,0,8
1576926722,3,1
