DateTime,AddedIPs,RemovedIPs
1574811002,286,0
1574814602,129,4681
1574818202,155,0
1574819102,30,0
1574822702,211,0
1574830802,390,0
1574834402,160,0
1574838002,187,0
1574841602,176,0
1574848802,392,0
1574856902,565,0
1574860502,142,0
1574867702,310,0
1574871303,140,0
1574874902,143,0
1574878502,124,0
1574885702,272,0
1574889302,136,0
1574892902,130,0
1574896502,120,0
1574900102,102,4621
1574904602,178,0
1574911802,324,0
1574919002,813,0
1574926202,890,0
1574929802,329,0
1574933402,180,0
1574937901,429,0
1574941502,798,0
1574945102,453,0
1574952301,389,0
1574959502,377,0
1574963102,200,0
1574970302,354,0
1574973902,187,0
1574978402,198,0
1574982003,160,0
1574985602,150,4058
1574989202,163,0
1574991002,117,0
1574994602,176,0
1574998202,172,0
1575005402,659,0
1575011702,389,0
1575015302,199,0
1575018902,208,0
1575022503,256,0
1575026102,176,0
1575033302,348,0
1575036902,155,0
1575040502,191,0
1575044102,168,0
1575047702,195,0
1575051301,171,0
1575055802,228,0
1575063002,318,0
1575066603,168,0
1575070202,148,0
1575073802,182,6106
1575078302,247,0
1575081902,190,0
1575085502,152,0
1575092702,824,0
1575096301,181,0
1575103502,394,0
1575107102,198,0
1575114302,361,0
1575118803,251,0
1575122402,159,0
1575126003,132,0
1575129602,185,0
1575133203,200,0
1575136802,148,0
1575140402,151,0
1575144002,164,0
1575147602,156,0
1575154802,322,0
1575162003,215,4814
1575166502,236,0
1575173702,363,0
1575177302,198,0
1575184502,303,0
1575189002,172,0
1575196202,300,0
1575199802,149,0
1575203402,134,0
1575207002,162,0
1575210602,123,0
1575215102,173,0
1575218702,170,0
1575222303,128,0
1575225902,199,0
1575229502,135,0
1575233102,146,0
1575240302,270,0
1575243902,115,0
1575247502,143,4842
1575251102,164,0
1575258302,372,0
1575262803,231,0
1575266402,181,0
1575270003,182,0
1575273602,181,0
1575277202,190,0
1575280802,155,0
1575284402,212,0
1575288002,186,0
1575295202,386,0
1575299702,241,0
1575303302,158,0
1575310502,348,0
1575314102,137,0
1575321302,280,0
1575325802,227,0
1575329402,131,0
1575336601,232,3619
1575343802,278,0
1575347402,132,0
1575351002,142,0
1575354602,177,0
1575358202,162,0
1575361802,224,0
1575366302,243,0
1575369902,262,0
1575373502,197,0
1575380702,348,0
1575384302,140,0
1575387902,156,0
1575391502,160,0
1575399602,337,0
1575403202,128,0
1575406802,140,0
1575410402,123,0
1575414003,135,0
1575417602,111,4322
1575421202,163,0
1575428401,282,0
1575432002,143,0
1575435602,131,0
1575439203,172,0
1575442803,214,0
1575446402,175,0
1575450003,194,0
1575453602,209,0
1575458102,197,0
1575465301,311,0
1575468902,150,0
1575472502,173,0
1575479702,314,0
1575483302,162,0
1575486903,175,0
1575490502,202,0
1575498602,301,0
1575502202,137,0
1575509402,296,3804
1575513002,173,0
1575516602,182,0
1575520202,182,0
1575523802,182,0
1575527402,215,0
1575531902,238,0
1575535502,232,0
1575539102,196,0
1575546302,425,0
1575549902,212,0
1575553502,198,0
1575557102,218,0
1575564302,344,0
1575567902,159,0
1575576002,358,0
1575579602,129,0
1575583202,148,0
1575586803,139,0
1575590402,584,3767
1575594003,200,0
1575597602,208,0
1575601202,209,0
1575604803,184,0
1575612002,458,0
1575615603,213,0
1575619202,213,0
1575622802,208,0
1575626402,207,0
1575630002,192,0
1575637202,319,0
1575641702,221,0
1575645302,191,0
1575648902,165,0
1575656102,312,0
1575659702,133,0
1575666902,372,0
1575671402,196,0
1575675002,147,0
1575678602,149,4706
1575682202,158,0
1575689402,349,0
1575693002,169,0
1575696602,192,0
1575700202,176,0
1575703802,186,0
1575708302,267,0
1575711902,167,0
1575715502,182,0
1575719102,183,0
1575722702,194,0
1575726302,162,0
1575729902,177,0
1575733502,155,0
1575737102,153,0
1575745202,328,0
1575748803,121,0
1575752403,132,0
1575756002,157,0
1575759602,128,0
1575763202,148,4543
1575770402,357,0
1575774002,159,0
1575781203,295,0
1575785702,197,0
1575789302,138,0
1575793802,189,0
1575797401,144,0
1575801002,146,0
1575804602,141,0
1575811801,384,0
1575819002,406,0
1575822602,132,0
1575826202,148,0
1575829802,140,0
1575834302,172,0
1575841502,268,0
1575845102,129,0
1575848702,129,0
1575852302,151,3882
1575855902,161,0
1575859502,213,0
1575867602,398,0
1575871202,194,0
1575874802,179,0
1575878403,208,0
1575882002,169,0
1575885602,231,0
1575889202,199,0
1575892802,212,0
1575900003,326,0
1575903602,175,0
1575907202,170,0
1575910802,167,0
1575918003,330,0
1575922502,184,0
1575926102,139,0
1575933302,346,0
1575936901,115,3687
1575940502,173,0
1575945002,239,0
1575948602,178,0
1575955802,315,0
1575959402,212,0
1575963002,225,0
1575967502,250,0
1575971102,188,0
1575978302,449,0
1575985502,412,0
1575989101,200,0
1575992702,184,0
1575996302,186,0
1575999902,159,0
1576003502,134,0
1576011602,323,0
1576015203,134,0
1576018802,140,0
1576022402,136,4199
1576026002,186,0
1576029602,184,0
1576030502,38,0
1576034102,164,0
1576041302,332,0
1576046702,258,0
1576053902,382,0
1576061102,394,0
1576064701,174,0
1576068302,213,0
1576071902,180,0
1576075502,180,0
1576079101,185,0
1576082702,150,0
1576090802,357,0
1576094402,139,0
1576098002,129,0
1576101602,129,0
1576105203,122,0
1576108803,115,4207
1576112401,153,0
1576116002,175,0
1576117802,82,0
1576121402,166,0
1576125002,172,0
1576128601,156,0
1576132202,179,0
1576134002,105,0
1576141202,398,0
1576148403,406,0
1576152003,209,0
1576155602,175,0
1576163702,408,0
1576167301,184,19
1576174502,317,0
1576178102,174,0
1576181702,125,0
1576185302,123,0
1576188902,133,0
1576192502,115,0
1576196102,116,4044
1576200602,197,0
1576204202,151,0
1576207802,156,0
1576215002,283,0
1576218602,151,0
1576222202,165,0
1576225802,172,0
1576229402,156,0
1576233002,161,0
1576236602,173,0
1576241102,231,0
1576244702,183,0
1576251902,282,0
1576255502,148,0
1576262702,382,5
1576266302,160,0
1576269902,148,0
1576273502,172,0
1576278002,184,0
1576281603,159,4102
1576285203,170,0
1576288802,164,0
1576292402,168,0
1576296002,155,0
1576299602,160,0
1576306802,296,0
1576310403,151,0
1576314002,145,0
1576317602,152,0
1576322102,191,0
1576325702,173,0
1576329302,138,0
1576332902,142,0
1576340102,283,0
1576343702,124,0
1576347302,178,0
1576350902,139,0
1576354502,129,0
1576358102,140,0
1576365303,287,0
1576368902,130,3854
1576373402,228,0
1576377002,207,0
1576384202,253,0
1576387802,124,0
1576391402,120,0
1576395902,134,0
1576399501,129,0
1576403102,162,0
1576406702,111,0
1576410302,124,0
1576413902,115,0
1576417502,104,0
1576421102,130,0
1576428302,239,0
1576435502,240,0
1576439102,115,0
1576442702,114,0
1576447202,156,0
1576450802,114,0
1576454402,142,3641
1576458003,121,0
1576461602,271,0
1576465203,182,0
1576468802,179,0
1576472402,132,0
1576476002,148,0
1576479602,204,0
1576486803,418,0
1576494002,334,0
1576497602,157,0
1576502102,202,0
1576505702,175,0
1576512902,291,0
1576516502,180,0
1576520101,128,0
1576523701,133,0
1576530902,288,0
1576534502,137,0
1576541702,240,3203
1576545302,121,0
1576548902,172,0
1576552502,209,0
1576556102,192,0
1576559702,165,0
1576563302,181,0
1576566902,183,0
1576570502,177,0
1576574102,164,0
1576577702,190,0
1576581302,188,0
1576584902,202,0
1576588502,147,0
1576592102,156,0
1576595702,164,0
1576599302,140,0
1576602902,127,0
1576606502,167,0
1576610102,167,0
1576613701,174,0
1576617301,200,0
1576620902,204,0
1576624502,170,0
1576628102,157,3730
1576631702,238,0
1576635302,230,0
1576638902,203,0
1576642502,195,0
1576646101,168,0
1576649702,216,0
1576653302,200,0
1576656902,175,0
1576660502,181,0
1576664102,158,0
1576667702,184,0
1576671302,157,0
1576674902,158,0
1576678502,160,0
1576682102,201,0
1576685702,153,0
1576689302,163,0
1576692902,111,0
1576696502,155,0
1576700102,131,0
1576703702,130,0
1576707302,152,0
1576710902,131,0
1576714502,132,4008
1576718102,162,0
1576721702,194,0
1576725302,152,0
1576728902,172,0
1576732502,174,0
1576736102,194,0
1576739702,205,0
1576743302,173,0
1576746902,184,0
1576750501,204,0
1576754102,165,0
1576757702,154,0
1576761302,213,0
