DateTime,AddedIPs,RemovedIPs
1572189606,0,1
1572202186,0,1
1572203985,0,1
1572239090,2,0
1572239994,2,0
1572250791,3,0
1572254397,1,0
1572255290,6,0
1572265203,0,2
1572266997,4,8
1572285894,0,1
1572289496,1,0
1572296693,3,0
1572313792,1,0
1572338993,1,0
1572339894,3,0
1572340796,1,0
1572342592,0,1
1572352501,8,1
1572353394,0,1
1572358800,1,0
1572359700,1,0
1572360597,1,0
1572361494,3,0
1572371393,1,0
1572388494,3,0
1572392095,1,0
1572416397,1,0
1572428093,2,0
1572429893,1,1
1572435306,5,0
1572436192,74,0
1572439790,0,5
1572442492,0,1
1572445191,1,0
1572446091,1,0
1572461396,17,0
1572474893,2,0
1572479393,1,0
1572481198,1,0
1572483895,3,0
1572484794,3,0
1572493793,1,0
1572514496,2,0
1572518131,1,0
1572519035,1,0
1572520813,1,0
1572524407,5,0
1572525300,1,0
1572526198,0,5
1572547797,0,1
1572549597,1,0
1572556796,2,0
1572564899,0,1
1572608116,0,1
1572609920,3,0
1572610815,2,0
1572611707,7,0
1572612601,1,0
1572627008,1,0
1572630597,1,0
1572634198,0,3
1572640498,1,0
1572641398,1,0
1572657597,0,1
1572664799,5,0
1572666598,1,0
1572668402,1,0
1572669300,1,0
1572687298,3,0
1572688200,1,0
1572697201,0,3
1572703503,1,0
1572705304,2,0
1572706204,1,0
1572718797,1,0
1572732297,1,0
1572733196,1,0
1572741295,1,0
1572761998,2,0
1572784499,0,98
1572787198,0,1
1572792603,0,1
1572802501,1,0
1572804296,1,0
1572805196,1,0
1572846599,2,0
1572867310,0,114
1572870900,0,6
1572871798,0,1
1572934796,1,0
1572953693,0,59
1572957296,0,8
1572968092,1,0
1572993320,262,0
1573028405,0,1
1573039199,1,0
1573040101,1,0
1573040999,1,80
1573041901,1,0
1573043702,0,4
1573057205,0,1
1573065303,1,0
1573066204,0,4
1573070704,0,1
1573084196,0,1
1573085992,0,1
1573096797,1,0
1573109394,2,0
1573116624,24,0
1573129201,0,1
1573139104,1,0
1573141801,0,1
1573143598,0,1
1573144497,0,1
1573148098,2,0
1573150801,0,2
1573166097,0,8
1573177792,1,0
1573190397,1,0
1573204808,3,0
1573216499,0,6
1573223704,0,1
1573225503,1,0
1573226401,1,0
1573231800,1,0
1573236305,1,0
1573239003,43,0
1573239901,1,0
1573251600,3,0
1573253397,2,0
1573256993,0,4
