DateTime,Entries,UniqueIPs
1572189606,908,908
1572202186,907,907
1572203985,906,906
1572239090,908,908
1572239994,910,910
1572250791,913,913
1572254397,914,914
1572255290,920,920
1572265203,918,918
1572266997,914,914
1572285894,913,913
1572289496,914,914
1572296693,917,917
1572313792,918,918
1572338993,919,919
1572339894,922,922
1572340796,923,923
1572342592,922,922
1572352501,929,929
1572353394,928,928
1572358800,929,929
1572359700,930,930
1572360597,931,931
1572361494,934,934
1572371393,935,935
1572388494,938,938
1572392095,939,939
1572416397,940,940
1572428093,942,942
1572429893,942,942
1572435306,947,947
1572436192,1021,1021
1572439790,1016,1016
1572442492,1015,1015
1572445191,1016,1016
1572446091,1017,1017
1572461396,1034,1034
1572474893,1036,1036
1572479393,1037,1037
1572481198,1038,1038
1572483895,1041,1041
1572484794,1044,1044
1572493793,1045,1045
1572514496,1047,1047
1572518131,1048,1048
1572519035,1049,1049
1572520813,1050,1050
1572524407,1055,1055
1572525300,1056,1056
1572526198,1051,1051
1572547797,1050,1050
1572549597,1051,1051
1572556796,1053,1053
1572564899,1052,1052
1572608116,1051,1051
1572609920,1054,1054
1572610815,1056,1056
1572611707,1063,1063
1572612601,1064,1064
1572627008,1065,1065
1572630597,1066,1066
1572634198,1063,1063
1572640498,1064,1064
1572641398,1065,1065
1572657597,1064,1064
1572664799,1069,1069
1572666598,1070,1070
1572668402,1071,1071
1572669300,1072,1072
1572687298,1075,1075
1572688200,1076,1076
1572697201,1073,1073
1572703503,1074,1074
1572705304,1076,1076
1572706204,1077,1077
1572718797,1078,1078
1572732297,1079,1079
1572733196,1080,1080
1572741295,1081,1081
1572761998,1083,1083
1572784499,985,985
1572787198,984,984
1572792603,983,983
1572802501,984,984
1572804296,985,985
1572805196,986,986
1572846599,988,988
1572867310,874,874
1572870900,868,868
1572871798,867,867
1572934796,868,868
1572953693,809,809
1572957296,801,801
1572968092,802,802
1572993320,1064,1064
1573028405,1063,1063
1573039199,1064,1064
1573040101,1065,1065
1573040999,986,986
1573041901,987,987
1573043702,983,983
1573057205,982,982
1573065303,983,983
1573066204,979,979
1573070704,978,978
1573084196,977,977
1573085992,976,976
1573096797,977,977
1573109394,979,979
1573116624,1003,1003
1573129201,1002,1002
1573139104,1003,1003
1573141801,1002,1002
1573143598,1001,1001
1573144497,1000,1000
1573148098,1002,1002
1573150801,1000,1000
1573166097,992,992
1573177792,993,993
1573190397,994,994
1573204808,997,997
1573216499,991,991
1573223704,990,990
1573225503,991,991
1573226401,992,992
1573231800,993,993
1573236305,994,994
1573239003,1037,1037
1573239901,1038,1038
1573251600,1041,1041
1573253397,1043,1043
1573256993,1039,1039
1573265098,1040,1040
1573289398,1036,1036
1573296616,1043,1043
1573297509,1042,1042
1573299310,1041,1041
1573300208,1040,1040
1573302013,1036,1036
1573302907,1035,1035
1573323607,1034,1034
1573324509,1035,1035
1573338905,1037,1037
1573346105,1035,1035
1573347004,1034,1034
1573376713,1038,1038
1573377608,1037,1037
1573381210,1038,1038
1573392007,1036,1036
1573392922,1037,1037
1573393811,1037,1037
1573395605,1036,1036
1573398306,1037,1037
1573408206,1036,1036
1573428013,1035,1035
1573429811,1037,1037
1573431608,1036,1036
1573434313,1035,1035
1573466706,1048,1048
1573469404,1032,1032
1573473001,1033,1033
1573549529,1009,1009
1573552206,1014,1014
1573554004,1015,1015
1573565703,1014,1014
1573573803,1013,1013
1573582808,1012,1012
1573589104,1011,1011
1573592706,1013,1013
1573595405,1012,1012
1573598103,995,995
1573618800,994,994
1573619700,995,995
1573626000,996,996
1573631399,997,997
1573639533,982,982
1573641320,983,983
1573642221,991,991
1573643109,993,993
1573649406,969,969
1573653005,970,970
1573653907,971,971
1573663806,972,972
1573668307,973,973
1573671910,1401,1401
1573673709,1400,1400
1573681807,1401,1401
1573690810,1402,1402
1573702509,1404,1404
1573723229,1401,1401
1573725034,1400,1400
1573727714,1406,1406
1573740304,1406,1406
1573743009,1405,1405
1573759207,1406,1406
1573761908,1405,1405
1573770003,1406,1406
1573773604,1407,1407
1573782608,1406,1406
1573806917,1417,1417
1573809605,1416,1416
1573815007,1414,1414
1573831207,1413,1413
1573844705,1025,1025
1573854713,1025,1025
1573869007,1027,1027
1573869909,1029,1029
1573897813,1031,1031
1573900505,1028,1028
1573901405,1025,1025
1573907708,1026,1026
1573908605,1025,1025
1573910409,1026,1026
1573914904,1027,1027
1573974303,1028,1028
1573979740,1023,1023
1573981529,1019,1019
1573984219,1022,1022
1574001303,1023,1023
1574012103,1024,1024
1574015707,1023,1023
1574036401,1024,1024
1574059800,1026,1026
1574070602,1024,1024
1574071493,1018,1018
1574072395,1017,1017
1574098497,1016,1016
1574111113,1017,1017
1574112916,1425,1425
1574115603,1426,1426
1574116505,1428,1428
1574120106,1429,1429
1574156118,1441,1441
1574157008,1438,1438
1574187607,1439,1439
1574190310,1440,1440
1574201106,1441,1441
1574221808,1440,1440
1574230806,1439,1439
1574247021,1434,1434
1574249724,1436,1436
1574274001,1435,1435
1574277601,1436,1436
1574278503,1437,1437
1574285714,1436,1436
1574305519,1437,1437
