DateTime,AddedIPs,RemovedIPs
1574539336,0,2
1574542937,1,1
1574546596,2,0
1574550136,2,1
1574553796,1,0
1574557398,1,2
1574560998,1,0
1574564537,1,0
1574568196,1,0
1574571738,3,2
1574575337,0,3
1574578998,1,0
1574582598,0,1
1574586137,1,0
1574593397,1,4
1574596938,0,2
1574604197,0,1
1574607797,1,1
1574611397,1,0
1574614997,0,3
1574618597,2,0
1574625798,1,1
1574632998,2,4
1574636597,2,4
1574640199,1,0
1574643797,2,2
1574650999,0,1
1574654539,1,0
1574658198,3,2
1574661799,2,1
1574665398,1,1
1574669000,1,0
1574672598,2,1
1574676199,1,0
1574683399,1,1
1574701399,1,0
1574704999,0,3
1574712198,1,0
1574715739,1,0
1574722999,2,1
1574726539,2,1
1574733799,1,0
1574737339,0,2
1574740999,2,0
1574744599,2,5
1574748199,1,1
1574758999,1,0
1574762599,0,1
1574780599,0,1
1574784199,1,1
1574787739,1,0
1574791400,0,1
1574798600,2,0
1574805740,5,0
1574809400,0,2
1574816540,1,0
1574820140,0,1
1574823800,0,2
1574827400,0,2
1574831000,2,0
1574834600,0,5
1574841740,2,3
1574845400,1,0
1574849000,1,2
1574856140,1,0
1574863340,0,1
1574865020,1,0
1574870602,1,0
1574874140,1,0
1574885002,1,2
1574892142,1,1
1574903001,1,0
1574913742,2,0
1574917401,2,4
1574920942,1,1
1574924601,1,1
1574928142,0,2
1574931802,0,1
1574935403,1,0
1574939001,1,0
1574942601,2,0
1574946142,1,1
1574949741,1,1
1574953402,1,2
1574960602,0,1
1574967742,2,0
1574971342,1,0
1574975004,4,0
1574978542,0,1
1574982142,1,0
1574989402,0,1
1574992943,6,0
1574996602,0,1
1575000202,2,1
1575003743,2,1
1575007342,1,0
1575010943,0,2
1575014603,1,0
1575021802,1,3
1575025343,1,1
1575036143,0,3
1575039803,1,1
1575043343,2,1
1575046944,1,1
1575050544,3,1
1575054144,1,0
1575057744,2,0
1575061344,3,1
1575065004,1,1
1575072204,1,1
1575075743,1,0
1575083003,0,3
1575090143,1,2
1575093744,1,2
1575097403,1,1
1575115404,0,1
1575122604,1,0
1575126204,0,1
1575129744,0,1
1575133344,0,2
1575137004,1,0
1575140545,3,4
1575144145,2,3
1575151344,1,0
1575155005,1,1
1575158604,1,0
1575162205,3,1
1575165806,3,0
1575169404,1,0
1575173005,2,2
1575176545,3,1
1575180144,2,0
1575183744,1,1
1575187405,1,0
1575191004,1,1
1575194545,1,0
1575201806,4,0
1575205405,1,0
1575208945,2,2
1575212545,2,0
1575216205,0,1
1575223346,1,1
1575227006,2,3
1575230545,1,3
1575237805,2,0
1575241407,1,1
1575244946,0,2
1575248546,1,1
1575252206,0,1
1575255745,0,2
1575259405,1,0
1575262946,3,4
1575266606,1,0
1575270206,2,0
1575273806,3,0
1575280946,0,1
1575288146,3,2
1575291806,2,0
1575295406,5,1
1575298947,2,1
1575302547,4,1
1575313406,2,2
1575317006,1,1
1575320547,1,1
1575327806,1,1
1575331407,4,2
1575334947,1,0
1575345747,1,0
1575349407,2,2
1575353007,2,4
1575356607,1,0
1575360147,1,2
1575363808,1,2
1575367347,1,0
1575370947,1,0
1575374547,1,0
1575378208,0,3
1575385347,1,0
1575388948,2,0
1575396149,0,1
1575399808,1,0
1575410607,3,0
1575414208,0,1
1575417807,1,0
1575421348,2,1
1575428549,0,2
1575432208,0,2
1575435748,2,0
1575439408,1,1
1575442948,3,2
1575446548,0,1
1575453808,1,0
1575457409,1,7
1575460948,0,4
1575468148,1,1
1575471809,0,1
1575475349,0,2
1575479009,1,0
1575482549,1,0
1575489748,1,1
1575493410,4,0
1575497009,6,2
1575500549,5,1
1575504209,0,4
1575507749,1,0
1575511350,0,1
1575518549,1,1
1575522149,4,2
1575525749,1,3
1575529410,1,1
1575533010,0,1
1575540210,1,1
1575543749,1,0
1575547410,2,0
1575550950,2,1
1575554549,0,3
1575558149,2,0
1575561749,4,1
1575565410,1,0
1575572550,4,1
1575576150,2,2
1575579810,1,2
1575583410,3,3
1575586950,2,0
1575590550,3,2
1575594210,4,0
1575597810,14,1
1575601350,1,0
1575608550,1,2
1575612211,3,2
1575615750,0,2
1575619410,2,0
1575623010,1,0
1575626550,2,2
1575630210,1,3
1575637350,1,4
1575644550,1,3
1575648150,6,0
1575651750,1,0
1575655412,1,0
1575658951,0,4
1575666151,0,1
1575669811,0,2
1575673412,2,1
1575676951,1,0
1575680552,2,2
1575684151,0,14
1575691351,0,3
1575695011,2,1
1575698551,1,0
