DateTime,AddedIPs,RemovedIPs
1574672598,2,0
1574676199,1,1
1574683399,1,0
1574694139,0,1
1574697799,0,2
1574701399,1,0
1574704999,0,2
1574712198,1,1
1574715739,1,0
1574722999,2,1
1574726539,3,1
1574733799,1,1
1574740999,2,2
1574744599,3,2
1574748199,1,5
1574751799,0,1
1574755339,0,1
1574758999,2,2
1574766199,1,2
1574780599,0,1
1574784199,1,0
1574787739,1,0
1574798600,2,0
1574802139,0,2
1574805740,5,0
1574809400,0,2
1574816540,1,0
1574831000,2,4
1574834600,0,1
1574838200,0,1
1574841740,2,2
1574845400,1,2
1574849000,1,0
1574856140,1,0
1574859801,0,1
1574863340,0,1
1574865020,1,1
1574870602,1,2
1574874140,1,1
1574881340,1,0
1574885002,2,0
1574888602,0,1
1574892142,1,1
1574899402,1,0
1574903001,1,1
1574906602,0,1
1574913742,2,1
1574917401,2,1
1574920942,1,1
1574924601,1,2
1574928142,1,2
1574931802,2,0
1574935403,1,1
1574939001,2,2
1574942601,2,1
1574946142,1,0
1574949741,1,3
1574953402,1,1
1574957003,0,1
1574960602,0,1
1574967742,2,1
1574971342,1,0
1574975004,4,1
1574978542,0,1
1574982142,1,0
1574989402,0,1
1574992943,6,0
1575000202,2,3
1575003743,2,2
1575007342,1,2
1575010943,0,1
1575014603,1,0
1575021802,1,0
1575025343,1,0
1575029004,0,1
1575039803,1,1
1575043343,2,0
1575046944,1,1
1575050544,3,2
1575054144,1,3
1575057744,3,4
1575061344,3,3
1575065004,1,0
1575072204,3,1
1575075743,1,1
1575090143,1,2
1575093744,1,1
1575097403,1,1
1575104604,0,1
1575111804,0,1
1575118945,1,0
1575122604,1,2
1575129744,0,1
1575137004,1,1
1575140545,3,3
1575144145,2,4
1575151344,1,0
1575155005,1,2
1575158604,1,3
1575162205,4,2
1575165806,4,1
1575169404,1,1
1575173005,2,1
1575176545,3,2
1575180144,2,2
1575183744,1,0
1575187405,1,0
1575191004,2,0
1575194545,1,0
1575198145,1,1
1575201806,4,3
1575205405,1,0
1575208945,2,1
1575212545,2,1
1575216205,0,2
1575219746,1,0
1575223346,1,0
1575227006,2,2
1575230545,1,1
1575237805,2,1
1575241407,1,1
1575248546,1,3
1575252206,2,1
1575259405,1,0
1575262946,3,2
1575266606,1,1
1575270206,2,3
1575273806,3,2
1575277406,0,1
1575280946,0,1
1575284606,1,0
1575288146,3,0
1575291806,2,2
1575295406,5,2
1575298947,2,0
1575302547,4,0
1575313406,2,1
1575317006,1,1
1575320547,1,0
1575327806,1,1
1575331407,4,0
1575334947,1,2
1575342208,0,4
1575345747,2,0
1575349407,3,2
1575353007,2,1
1575356607,1,2
1575360147,1,0
1575363808,2,2
1575367347,1,0
1575370947,1,7
1575374547,1,3
1575378208,0,2
1575381747,0,1
1575385347,2,1
1575388948,2,2
1575392607,1,0
1575399808,1,0
1575403348,1,0
1575407007,0,1
1575410607,3,2
1575414208,0,1
1575417807,2,0
1575421348,2,4
1575425007,0,1
1575432208,0,3
1575435748,2,2
1575439408,1,3
1575442948,3,0
1575446548,0,1
1575450208,1,1
1575453808,1,0
1575457409,1,1
1575464609,0,1
